/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.3_bud_180_22-07-13-02-38/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20224 | return=-29.68 | steps=46 | track=ef55ca444d4f68e627277ede137dfd58
global_step=20368 | return=-169.15 | steps=131 | track=a9cb55ebf5ce2379b3a931dcc7ee2992
global_step=20656 | return=-147.95 | steps=131 | track=27aa08d6d996387ec8d72af6159d2727
global_step=20688 | return=-133.05 | steps=177 | track=1149d28e8bc03ea8a57c540528fb504c
global_step=20800 | return=-147.51 | steps=131 | track=90b48288e708617b21fffc67633f7ffb
global_step=20848 | return=-154.49 | steps=131 | track=f4e7973e225045be69642da72be4903b
global_step=21312 | return=-149.36 | steps=131 | track=64bcd5b9e58ae54b72547a30febf5201
global_step=21552 | return=-154.20 | steps=131 | track=4db4dcf7e85c7e4c4b6facdac63fbb7f
global_step=22016 | return=-173.50 | steps=131 | track=9a373b3537927c13fa4ac93f22f18484
global_step=22176 | return=-156.99 | steps=131 | track=1e9ebcba2c71832f16ab9d6cf86b4a3c
global_step=22272 | return=-153.47 | steps=130 | track=ed92ab9c32b7ea17dd0faca0d7d517c0
global_step=22416 | return=-55.44 | steps=152 | track=831d7000ce207db83b13ea6b7524d278
global_step=22480 | return=-135.70 | steps=131 | track=ce7ceffbb93f7ff36dd4f1216f227281
global_step=22512 | return=-176.44 | steps=229 | track=9949ab115306577e5480104e825480f0
global_step=22768 | return=-142.68 | steps=131 | track=80085b3664dff56372fdbd17393ec1e6
global_step=22800 | return=-149.47 | steps=131 | track=06aa75e068268ae5bac7bfa30e87302d
global_step=22912 | return=-146.51 | steps=131 | track=8af30ee7f5672a53b509ec82739046d8
global_step=22960 | return=-166.20 | steps=131 | track=641135c1755b1d360ca85b433edfb51a
global_step=23008 | return=-135.59 | steps=190 | track=ccdc83150e263c109e125d70acc808a4
global_step=23024 | return=-123.67 | steps=224 | track=c4f86b0d08362d17f17bb9d01c3df972
global_step=23040 | return=-106.51 | steps=175 | track=fb788e7001f9bf1ca21376e6ce95b6c7
global_step=23408 | return=-133.60 | steps=130 | track=4af129687ead92fa1659b737396863c8
global_step=23664 | return=-157.15 | steps=131 | track=730b694449121793caa6b8fc2c22065c
global_step=24096 | return=-108.37 | steps=104 | track=003b974c96100a3a4f27d37c19df01d9
global_step=24112 | return=-150.58 | steps=130 | track=0c50d46455aef54d6a27c69c6720fa47
global_step=24144 | return=-58.98 | steps=85 | track=2f384e7a36dabf46f60409cc6900be34
global_step=24576 | return=-33.41 | steps=293 | track=4270d3b1c2b0e5fe6cd96503038ed828
global_step=24576 | return=45.26 | steps=56 | track=a1d14449fb08ba06e67fde64373bcad5
global_step=24592 | return=-153.61 | steps=131 | track=5329a24ea57a845a3f89d8e27ebaf4c7
global_step=24624 | return=-136.50 | steps=131 | track=23068c97d4721a283882d4cf0ef2253c
global_step=24624 | return=-120.13 | steps=146 | track=3875dbb0a69538daec7213feea111232
global_step=25024 | return=-150.94 | steps=131 | track=6615823d74692559dfc6ad6d4bd3f710
global_step=25072 | return=-153.61 | steps=131 | track=b55f235219c1992ff470207aecf6e6aa
global_step=25136 | return=-153.01 | steps=131 | track=8e0312d7ab4d5b545804fd0c647999b2
global_step=25152 | return=-151.71 | steps=131 | track=8c38f0f5b1d0ac17769a2ef3082f4262
global_step=25184 | return=17.04 | steps=66 | track=6a5d39496448708ee41f99de49e39c19
global_step=25360 | return=-100.12 | steps=198 | track=1fbf743d34daedfe74bc58b00b18dd79
global_step=25360 | return=-57.69 | steps=45 | track=cd7c6509ac39da1f1e088087db6f38ed
global_step=25616 | return=-133.38 | steps=162 | track=4e402ccb2cf32804ddf302ebd4a77ea5
global_step=25744 | return=-85.56 | steps=145 | track=5f80ef323cf0145e117b7bfd16c44cb6
global_step=26208 | return=-144.47 | steps=131 | track=e4f028343a04a11826b5fbbbc7ddb280
global_step=26368 | return=-61.97 | steps=111 | track=406f5b0e10e28cad94731dd04a72a457
global_step=26496 | return=34.51 | steps=70 | track=c598f48e8028197a651cb516a2784f83
global_step=26544 | return=-117.55 | steps=91 | track=31a2c216e60406b5cc258809b1a43ef2
global_step=26576 | return=-69.28 | steps=151 | track=477c285bce5c4ca18a80324dde150445
global_step=26704 | return=-133.30 | steps=131 | track=3e9f4604491850e7bb17de2279dceeb8
global_step=26736 | return=-145.66 | steps=131 | track=af6be649c9f05d7bbd6d1797750982d2
global_step=27088 | return=-131.21 | steps=121 | track=dec07ba384f6cba8c70ba1a4e1210f3a
global_step=27120 | return=-146.29 | steps=130 | track=04646ffd755fc3fd1cc2bf3237185b35
global_step=27264 | return=-150.73 | steps=131 | track=e357013699fddd94b6ca51373f0afcda
global_step=27296 | return=-139.44 | steps=131 | track=2bdd7db1f6642f615d63fa61063e17f7
global_step=27472 | return=-150.18 | steps=131 | track=c6ab5c721ec81b94232db0aff3208d92
global_step=27536 | return=-152.10 | steps=184 | track=43b522e1bba5001ea760b35362f9913f
global_step=27664 | return=-67.61 | steps=80 | track=37557d4f545c2e4adef177789a5218b1
global_step=27712 | return=-145.68 | steps=130 | track=3c0a3dd70cb15b4e80455023f97af0fc
global_step=27856 | return=-146.83 | steps=131 | track=a3ac99d5956c7584397eda106861a285
global_step=28208 | return=-197.96 | steps=337 | track=a5701fc982ed0de387a307b48da13c2b
global_step=28320 | return=-185.44 | steps=131 | track=6393b4bafe9f169a6a8d63d3d84e6e80
global_step=28592 | return=-148.49 | steps=130 | track=1c7b635b16f269f64f9c6a2a68a3c178
global_step=28640 | return=-161.20 | steps=130 | track=7807c421d389d62956a256daf31ad920
global_step=28688 | return=-157.41 | steps=131 | track=22b0d24a34f03ec29fa87cdf50163e6b
global_step=28800 | return=-148.67 | steps=130 | track=dacf5dc947886d3c71309520de6a41ea
global_step=28848 | return=-170.69 | steps=131 | track=3984c5fe87972a44d92132d16ee81292
global_step=29200 | return=-140.38 | steps=131 | track=1f24d7950df8ec3f9ebf10087ecbd8fe
global_step=29216 | return=-153.29 | steps=130 | track=886c71378349a23cfc4e42453d609420
global_step=29328 | return=-9.71 | steps=62 | track=14fdf75f7648c08042916a1a93dba6c1
global_step=29408 | return=-151.11 | steps=131 | track=78ecd47937151efc8bedfb02b709ca54
global_step=29584 | return=-144.23 | steps=131 | track=f71b51a7beade0e3e0b4fdb1fa5fbea3
global_step=29648 | return=-136.80 | steps=131 | track=92daf8123bf88c79f0abc0c8c0c84a06
global_step=29664 | return=14.17 | steps=66 | track=5912048d4a1e98944b31fd9b21ae3aa5
global_step=29968 | return=-139.23 | steps=131 | track=5030859fb54058e4e6fb44a4de90ef3b
global_step=30048 | return=-180.38 | steps=173 | track=4a324030c13e59d4654a41df10a496e1
global_step=30128 | return=-51.27 | steps=150 | track=aab07b9e8d43323eedf840464bca337c
