/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.4_bud_180_22-07-13-02-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=12320 | return=-164.48 | steps=131 | track=53a3c34b3e5d44a978712cb3ebfcf3e9
global_step=12368 | return=-82.03 | steps=106 | track=4c9aa2fcc06d0aa4f1281a0ff298abed
global_step=12384 | return=-147.95 | steps=130 | track=ced82b2bc3a854331981878515cae99b
global_step=12528 | return=-66.23 | steps=153 | track=86c90a2e349b353630918ff738b351f1
global_step=12688 | return=-163.40 | steps=131 | track=21493db192440985fe9b769546c2ae47
global_step=12896 | return=-109.66 | steps=141 | track=1f4b5518a236fbc1aff76be843e0778c
global_step=13104 | return=-156.57 | steps=131 | track=0123a5bf2af56e404a7fb2f6f0f898e1
global_step=13424 | return=-49.06 | steps=151 | track=c5118465c6b6b4f28ff0db6cee72db0b
global_step=13712 | return=-141.08 | steps=130 | track=2a3f78ee15212d149d3bcc69efc729d2
global_step=13776 | return=-95.64 | steps=403 | track=359d41cf7e13b685db89a9619f03d43d
global_step=13776 | return=-94.51 | steps=144 | track=00a3faac2658956e99f75870eedd1268
global_step=13872 | return=-73.63 | steps=47 | track=b0f3773bd07c0532baa12a2fa6b6f340
global_step=14016 | return=-270.10 | steps=281 | track=8165ebb5c4673a50952dea178d7c663d
global_step=14048 | return=-142.16 | steps=130 | track=2ef3b50b0e5f70c4daefd16e6057e41b
global_step=14176 | return=-132.59 | steps=131 | track=c86650a6e07d3c109abba11a159c396b
global_step=14416 | return=-155.59 | steps=131 | track=03956b2464acb765eb621a3ed62a6418
global_step=14432 | return=-138.60 | steps=131 | track=3c7d65ccf4455f6c2510c1c4ef2156da
global_step=14480 | return=-136.85 | steps=131 | track=1c37f70f3990559c80138c858003b763
global_step=14480 | return=-148.51 | steps=130 | track=501855578a084e434b8856c0ffb12706
global_step=14768 | return=-75.81 | steps=46 | track=450f3c29d9987384121c03514a8b371e
global_step=14800 | return=-159.54 | steps=131 | track=567511922af267f6e6d31250f125f439
global_step=14816 | return=-16.01 | steps=64 | track=16505ac1cd494f5585bb381d43759c88
global_step=14912 | return=-15.57 | steps=64 | track=ae489c23c416148763ec5c6b34b02bb9
global_step=14928 | return=-45.90 | steps=46 | track=e817c378f74bd47c3cc4217e9f7afa4c
global_step=14992 | return=-141.77 | steps=130 | track=5eeed091e46af00cdd9e408b5a0fc01d
global_step=15424 | return=-65.81 | steps=180 | track=704881eb163234c045c962680b342d56
global_step=15488 | return=-20.26 | steps=41 | track=39fba6579366a3ae8ca2a62edaa2ef3b
global_step=15696 | return=-122.95 | steps=141 | track=76ffc8ffff38d229e32f5ac97c23a3cc
global_step=15856 | return=14.11 | steps=67 | track=6da9a9848427ad141f687d961c42c60b
global_step=15920 | return=-119.12 | steps=133 | track=01708094f9aed55ed28af59b8ea12254
global_step=16112 | return=-91.80 | steps=101 | track=383ec235b2ce535fea2c8841af417eb6
global_step=16160 | return=-140.61 | steps=131 | track=25a294952d5ba339632807c098ce4a8c
global_step=16272 | return=-80.19 | steps=83 | track=90420e2cc472e8b4c8d1e4f69ae15827
global_step=16384, SPS=93
global_step=16528 | return=-158.70 | steps=131 | track=000bf1ea0fe447d0e4b34449f19bc2f0
global_step=16544 | return=15.23 | steps=65 | track=2a10646dfeedc0e55a202d9d0bc0b947
global_step=16544 | return=-178.07 | steps=131 | track=6c85a41a1b80f548b3cae66088800fd4
global_step=16896 | return=-69.03 | steps=130 | track=06db931a7707544083163fcb53fefd8d
global_step=16976 | return=-26.98 | steps=155 | track=9f6792dd5db83950a489f5ff3adce0e8
global_step=17024 | return=-142.00 | steps=131 | track=edf945196b659c6124a939448e2f16d3
global_step=17072 | return=-157.66 | steps=315 | track=b9b3ea4b5581baf5b77f7b366a25ae8d
global_step=17088 | return=-152.94 | steps=130 | track=043d215e6e579fb177bb064faf0e5455
global_step=17216 | return=18.87 | steps=218 | track=6ce1cbfd368565e8a16fc0238a027258
global_step=17328 | return=-5.26 | steps=65 | track=c48e723ad0fc23bd1072ee788aefc12f
global_step=17792 | return=-156.62 | steps=130 | track=c72a852f6ea7e850195d678dd6ebc35c
global_step=17952 | return=-149.13 | steps=130 | track=1ded7a6d43a426c7544e635715911e12
global_step=18032 | return=-47.51 | steps=58 | track=a1be6f749c5b78a609ea6a77733d2f3c
global_step=18224 | return=-147.50 | steps=131 | track=0deefb5ac51905e0a50253f9cac32fd0
global_step=18272 | return=-162.88 | steps=131 | track=a695a81fc0f5fd91f06951660dea4df5
global_step=18432 | return=-32.04 | steps=156 | track=4c1072050ad2454ba30b1db0e13475f1
global_step=18656 | return=-159.33 | steps=131 | track=052960d2b27d1f246a4faea024b6c334
global_step=18816 | return=-33.68 | steps=141 | track=29c3df893f66f9997886edbea8932ee6
global_step=19008 | return=-154.09 | steps=131 | track=f5b61d62af2e4c903124cbe31e34831b
global_step=19184 | return=-143.85 | steps=131 | track=d5c8eb509ea5acbc0ca0597de105e391
global_step=19296 | return=-152.08 | steps=241 | track=4514e6182f08101e16c16604be13607d
global_step=19328 | return=-154.81 | steps=131 | track=d15b4a6f77a1985f6fb30070974bfeed
global_step=19328 | return=-119.20 | steps=174 | track=397a8352c4b966a6fae0090119b43889
