/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_4.0_bud_180_22-07-13-02-43/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16720 | return=-154.52 | steps=131 | track=d9c26676b8488eda5b5d03363a2aaa9e
global_step=16768 | return=-64.20 | steps=62 | track=9ce129c470f3138e88603e645705e52c
global_step=16880 | return=-147.69 | steps=131 | track=1ac1d5dc14f388b5a7a32925f9754894
global_step=16976 | return=-158.23 | steps=131 | track=cb996f3321703db140b1d34d65310d88
global_step=17104 | return=-156.00 | steps=131 | track=445578ae2c305feda34063edd38a0c54
global_step=17200 | return=-10.30 | steps=175 | track=c34cb60185b8b2075e65968f1172f93c
global_step=17264 | return=-30.81 | steps=64 | track=d4023e710ffff15b8553ee05913e7926
global_step=17312 | return=-181.82 | steps=131 | track=f1a36202bbc7c2ef826e6d176bbd63d9
global_step=17488 | return=-173.64 | steps=166 | track=9ad7cbfa8edb29f77f5843783b600afc
global_step=17712 | return=-151.80 | steps=130 | track=8cd51eaa684a18e241b449b76f90879d
global_step=17728 | return=-145.20 | steps=131 | track=4502b0bdf480972dd32a665c4830df3f
global_step=17728 | return=-166.61 | steps=131 | track=16d9d8fbd6d0e0102c0941981432ff48
global_step=17984 | return=-161.64 | steps=131 | track=96e99b14e31846b18b8b2bbda7552e2e
global_step=18208 | return=-156.98 | steps=131 | track=2a224a3db081706b4a4b1c10acc8d0c9
global_step=18288 | return=-144.24 | steps=174 | track=e54e73527c480603bf96f4eca210c5d2
global_step=18704 | return=-175.25 | steps=131 | track=138a767649efdbf6c6903b99f64f1e62
global_step=18832 | return=2.66 | steps=68 | track=2c500ffc17f42d8f68de596f9b375a6f
global_step=18896 | return=-71.15 | steps=135 | track=aae990086f2e61aa80b943d7fd726702
global_step=18992 | return=-145.39 | steps=131 | track=0bcd07c6c43d19059e3d98b8f86f155a
global_step=19088 | return=-169.67 | steps=131 | track=d59dec50c2c05da15a8e25eba13fe836
global_step=19120 | return=-134.25 | steps=146 | track=09af836bcd25ad39e999e097fb797ec8
global_step=19216 | return=-154.25 | steps=131 | track=cc5d895429d2ecf0dc5390aea1443b15
global_step=19312 | return=-160.00 | steps=131 | track=4a6f71b2f9f230170f9f7dd71ef95cf5
global_step=19376 | return=-167.69 | steps=131 | track=25d0d52174cd49ceed7ace881b749ec1
global_step=19600 | return=-155.01 | steps=131 | track=d7e8787441e89153820cda3b9ef503ed
global_step=19664 | return=-63.20 | steps=146 | track=acea27fad79da9b114ca7a5ae4ecec7e
global_step=19936 | return=-28.85 | steps=52 | track=ccf181ece283ea9cbeb98d58af70a165
global_step=20064 | return=-98.36 | steps=146 | track=f603727a90eb525b4efccfebb4d8e554
global_step=20096 | return=-154.21 | steps=131 | track=15a52c275eba245e9ec20bf9977b644d
global_step=20320 | return=-137.43 | steps=131 | track=97b6be59583b88284a9b242c9df16ccf
global_step=20368 | return=-52.41 | steps=103 | track=58d1e5efa09592d84fa451ffa88e8916
global_step=20720 | return=-83.12 | steps=48 | track=72d2324f6cd4fc0dfbbbe496489a8ea6
global_step=20976 | return=-169.53 | steps=129 | track=23690680bdfde28c2e46be474f136cf5
global_step=21040 | return=-145.15 | steps=137 | track=a36a29cf3c8a3093358f1c54260522a0
global_step=21216 | return=-147.51 | steps=130 | track=1b4640f6ceff5873c5bcbb6c88d013d0
global_step=21328 | return=-156.13 | steps=131 | track=76d87ac3f2da4223cd6a79ea6312fcbd
global_step=21424 | return=-174.50 | steps=131 | track=2022048e9e7b7ec77848fca49b726cef
global_step=21456 | return=-62.42 | steps=153 | track=2945fdfccfee9fe05ad119592d7eb5cb
global_step=21488 | return=-158.76 | steps=131 | track=7e991d7852b60478ca119e0ad104b128
global_step=21520 | return=-271.90 | steps=236 | track=90e653be597651c01c58bfadbe91ff29
global_step=21712 | return=-195.55 | steps=131 | track=315406090f8fc8976b7a6cbf7cd8fdfc
global_step=21744 | return=-177.71 | steps=129 | track=66cdd2f4485e86cee7719d572dde7076
global_step=22208 | return=-155.21 | steps=131 | track=52ba667cb4c754ac9cd1ac2bfb462a88
global_step=22448 | return=-94.71 | steps=63 | track=3aecc19fc09d667656cba295825fc08d
global_step=22448 | return=-193.23 | steps=129 | track=b41a000742d32b51012c69c4a60e208f
global_step=22752 | return=-96.46 | steps=62 | track=2da032dd51e6edb28197c4a547595104
global_step=22832 | return=-189.09 | steps=131 | track=0f9b78796b92fe679cae8685b5219966
global_step=23072 | return=-171.10 | steps=130 | track=9c9fa5c8ce385bd2a2ffcf15ca757768
global_step=23328 | return=-156.94 | steps=131 | track=cbc45839ad66bb56904bb54979fa9179
global_step=23440 | return=-179.78 | steps=131 | track=f5b85ffa6e9234b9e26e898b10ff513a
global_step=23568 | return=-184.16 | steps=131 | track=36db1af7767a1b5f81e7318e80dcc57e
global_step=23680 | return=-236.18 | steps=225 | track=55d5fb5f808605437ce5fa3578f8920e
global_step=23744 | return=-136.79 | steps=168 | track=03adeebe846cac449c92dead1b3cb5a2
global_step=23808 | return=-176.64 | steps=130 | track=b55c18a9be2ed87e8f2d06a0937fc307
global_step=23920 | return=-96.49 | steps=224 | track=3776d588627f33cf3bc54c5218b39fc9
global_step=24320 | return=-192.98 | steps=131 | track=881a2f5d68e742c9538d7eea5373df59
global_step=24448 | return=-187.06 | steps=384 | track=5a3e59af7177521e4bc1b0fda0444a71
global_step=24464 | return=-108.64 | steps=106 | track=f4e3c10190757068c8bd1fbf50fb1dea
