/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.0_bud_180_21-07-13-18-23/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16848 | return=-138.59 | steps=130 | track=e8ec4602176942f5ffe4c18c35b43916
global_step=16864 | return=47.19 | steps=154 | track=1c0d898224faab1fe783ec1b4852aed0
global_step=17152 | return=-139.98 | steps=131 | track=bec86d7de03d38844c8e62e3a3abf64a
global_step=17344 | return=-139.60 | steps=130 | track=45a89d9ae576a38e191319518ff73814
global_step=17712 | return=-5.60 | steps=63 | track=971a88cf8ac46051c4915a23aae2b2b0
global_step=17728 | return=-132.67 | steps=131 | track=9cb38f03b6339a3bd7ba76257849ba15
global_step=17840 | return=-132.01 | steps=131 | track=ec9be2ea1b6174192f20c85d54e678fe
global_step=17872 | return=-132.20 | steps=131 | track=ba7c959820e99a9ada681818da149716
global_step=17936 | return=-140.91 | steps=131 | track=37097181ea4ae0de4c7cfca5f6f220c0
global_step=17952 | return=-135.54 | steps=131 | track=cad7eac43c07dd424af8f13a962fc070
global_step=18192 | return=20.05 | steps=64 | track=013327416a109b08d5e61e8c4498f5e1
global_step=18192 | return=-145.09 | steps=130 | track=eead3593e128f2a9bd4764c84367b71f
global_step=18240 | return=-140.01 | steps=131 | track=4ea3f9deb71922281d9b8beb6eb200ba
global_step=18416 | return=-100.96 | steps=200 | track=3f07ca8328b2f5c08e94f219a4653bee
global_step=18624 | return=-142.78 | steps=130 | track=c3cb42e2e74feb28061a27c42ca15291
global_step=18672 | return=-136.48 | steps=131 | track=bc50f7c10ebf4afb17687af0b4ae9d18
global_step=18672 | return=-22.03 | steps=44 | track=82876ae115023d6f3b5e3343095dae9e
global_step=18720 | return=-137.77 | steps=131 | track=d40f5408115f7a5e158b23573e99a5bd
global_step=18960 | return=-135.03 | steps=131 | track=5e1c68b800a99bec1cb888fd24b7f33e
global_step=19344 | return=33.70 | steps=68 | track=a171b0e235cc843bd805b370814eae23
global_step=19456 | return=-133.03 | steps=131 | track=53558a7ec3ab9480eb9cba0cc41a23d2
global_step=19760 | return=-2.61 | steps=180 | track=6812dc3fdc9f5cfc2467d70494c286ea
global_step=19824 | return=-131.81 | steps=131 | track=b0b5857e666ce5667e1e8c278108a39e
global_step=19840 | return=-139.73 | steps=131 | track=ff6921fc18e54a9dd2e2a559a38e54fa
global_step=19904 | return=-81.77 | steps=76 | track=f31c3cbbb76bc3226cadd8b33c9232d9
global_step=19984 | return=-145.20 | steps=131 | track=fa2fee3c310da7ec898226b10f6becc8
global_step=20000 | return=-26.84 | steps=79 | track=dd92860100191cbb03a2593d1ab70b3c
global_step=20048 | return=-149.60 | steps=131 | track=def5cd21fae7a6ee04bd384345484c76
global_step=20304 | return=-145.78 | steps=131 | track=2cd01d9738f6bd04baaa281c4e6e3f6d
global_step=20320 | return=-19.27 | steps=60 | track=a513b28082ab02e91724f1dc95cabf00
global_step=20576 | return=30.17 | steps=69 | track=19860e40daed7b8118a1b4a6cb0fe103
global_step=20656 | return=-131.46 | steps=175 | track=b939efbeba7352bb57e8167104b5f658
global_step=20736 | return=-138.60 | steps=131 | track=90db9b039028eec2494ac0cf6b525429
global_step=20864 | return=-39.44 | steps=152 | track=3662a2fa4c8f57bf963bdcdd833ab342
global_step=20928 | return=-18.42 | steps=140 | track=3914b3692f56499713dca95e43857b9b
global_step=21168 | return=59.14 | steps=69 | track=f62fc8675b0cadf7a72ed3bcd5e6e373
global_step=21392 | return=-45.50 | steps=66 | track=9f5cdded835db72387919824ad5fabba
global_step=21648 | return=-99.26 | steps=215 | track=70cda3ab564d2add5580cb4fe3ac1cf3
global_step=21872 | return=-135.55 | steps=131 | track=fcc45b37f8e3fdf636c9e72880898058
global_step=21936 | return=-138.78 | steps=131 | track=e9007876c567df1b36fd2b8136e0f277
Traceback (most recent call last):
  File "/md0/home/UFAD/tcuevasmestanza/CarRacing/training/train_adaptive_fps_track_aware_lstm.py", line 371, in <module>
    next_obs, reward, terminations, truncations, infos = envs.step(action.cpu().numpy())
                                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/gymnasium/vector/async_vector_env.py", line 393, in step
    return self.step_wait()
           ^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/gymnasium/vector/async_vector_env.py", line 452, in step_wait
    env_step_return, success = pipe.recv()
                               ^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
          ^^^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 430, in _recv_bytes
    buf = self._recv(4)
          ^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 395, in _recv
    chunk = read(handle, remaining)
            ^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
