/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-18-22/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=15376 | return=-128.24 | steps=131 | track=fd41bc4b618b39d6936f0cbc74987e9f
global_step=15408 | return=-142.53 | steps=128 | track=9f674fc33725985eb5764c43f277d883
global_step=15664 | return=-24.22 | steps=52 | track=a4e35f52bf65eb332192740996fefee9
global_step=15840 | return=33.26 | steps=81 | track=bb86051dbef342b3056ef7c401cf9856
global_step=16384, SPS=93
global_step=16448 | return=-133.19 | steps=131 | track=622d473f119784afc32fc0f7f1b581d3
global_step=16480 | return=-132.01 | steps=130 | track=d8e3a11cf5d67e9b558ffe7d1b2c6a3f
global_step=16608 | return=-132.39 | steps=131 | track=fc204f813f2bfb8618d467efc9e4658f
global_step=16656 | return=-139.16 | steps=131 | track=83fd787a7555982013b22a1510298309
global_step=16720 | return=7.56 | steps=65 | track=9a8dc2f1b0e4656f3b7dce232edc8bff
global_step=16736 | return=-143.71 | steps=177 | track=c4c2d5b10988027a230a8913c31415dc
global_step=16960 | return=-126.23 | steps=131 | track=cafdfd7b12fdaedde4615188a948cadb
global_step=16976 | return=-41.29 | steps=190 | track=38ee19575982bb785b16646224617121
global_step=17072 | return=-77.94 | steps=109 | track=16578388b7dbd730807a6800a2c8ddb2
global_step=17424 | return=-135.67 | steps=130 | track=e3e22c104a1fdd9036c6acc9c324e970
global_step=17584 | return=-150.91 | steps=208 | track=06145079d85f32817a962f4e3410b865
global_step=17648 | return=-140.70 | steps=209 | track=ff36541e5d60ee470951a887a0dadcbe
global_step=17744 | return=-58.26 | steps=147 | track=4e4555d03e2be0f39a11ddf94e205e58
global_step=17952 | return=-123.80 | steps=131 | track=4fc8cc336adc5ee8713ce2f7c8cd64df
global_step=18000 | return=-10.39 | steps=63 | track=9ae2b18b4afe2a49c4bc8393cc9f9615
global_step=18240 | return=-58.02 | steps=176 | track=1490d46e9f175294b5d24237acc5a44f
global_step=18288 | return=-7.95 | steps=53 | track=59a1e135385811bd73be2401a20a92c9
global_step=18560 | return=-137.60 | steps=131 | track=b9015b65cb4338f0bc0803faa4f58575
global_step=18560 | return=58.78 | steps=60 | track=d2738e0561ebff3f85a3241c84036f32
global_step=18592 | return=-131.40 | steps=131 | track=66eeca7c40a0525cb27249ee61895bde
global_step=18720 | return=-129.51 | steps=131 | track=ed653f1cc677ff629b4bb198a53a69bc
global_step=18752 | return=-131.36 | steps=130 | track=b84e4f792a71b0164b17039cb90c9f08
global_step=18832 | return=-134.66 | steps=130 | track=58a0b23fa6480caf01014cfe5e6f9e2b
global_step=18832 | return=-123.17 | steps=131 | track=b7e8d6a7e66417bd350f4478b9be6711
global_step=19072 | return=-132.19 | steps=131 | track=23f3820f8a037044c46ab9b8bfc26290
global_step=19184 | return=-133.77 | steps=131 | track=60e7b935ee60a055ec46e7fe3ea9287d
global_step=19680 | return=31.17 | steps=69 | track=f4c05028655bc5b75ca2ff9612357f59
global_step=19696 | return=-90.03 | steps=295 | track=192a3677f23961154ad94ee8c0c3537b
global_step=19856 | return=-122.36 | steps=131 | track=07da56fc30b2d8920ec950d0ccb8b987
global_step=19904 | return=6.71 | steps=66 | track=3387acad7af3e1540f688582e3ea94c8
global_step=19920 | return=-90.81 | steps=141 | track=6d963be5a7fa52202bdcc6acf47363dd
global_step=20064 | return=-129.86 | steps=131 | track=c76553be9cc44067071acf7b364662fb
global_step=20112 | return=-133.91 | steps=131 | track=982a34b24709449dee71667b864f8d98
global_step=20336 | return=-127.63 | steps=130 | track=f2ca67fec89b6160c52ce21b250170b1
global_step=20400 | return=-140.05 | steps=131 | track=d999090e6f08ef8c799174ad181415cd
global_step=20656 | return=-127.07 | steps=130 | track=69bf614be1b078a5092fb5be24417149
global_step=20928 | return=-126.60 | steps=130 | track=9b983ffd00c2e522189d0a7118fda0a7
global_step=21024 | return=-16.91 | steps=151 | track=68c8bca2847cc1ff12034207c8eb8f84
global_step=21232 | return=-24.68 | steps=154 | track=f9f8e1739f33284b4a4842e66767d91a
global_step=21248 | return=-31.85 | steps=135 | track=4a54a6456912dd756fca4a0f696d3247
global_step=21296 | return=-133.55 | steps=131 | track=56622a429182a0948578ac4b73483adc
global_step=21792 | return=-132.74 | steps=130 | track=3def160849e77886eb9da88ccc52ffc7
global_step=21792 | return=-122.74 | steps=131 | track=da1708e186f27bb585a87e6fbacd96a0
global_step=21888 | return=-164.93 | steps=197 | track=c478e15bf6f33cf9bf6b204750d6b209
global_step=21968 | return=-131.55 | steps=131 | track=1e1b71c19b69e4060c0ba8c4d738d697
global_step=22016 | return=-141.09 | steps=131 | track=31bccf8810e47cc8f9b5eea22daccd27
global_step=22032 | return=-136.59 | steps=131 | track=a2296446a99d739d887c15626127b525
global_step=22160 | return=-128.10 | steps=130 | track=a11a078da73ab30dcc4454c14f4597db
Traceback (most recent call last):
  File "/md0/home/UFAD/tcuevasmestanza/CarRacing/training/train_adaptive_fps_track_aware_lstm.py", line 371, in <module>
    next_obs, reward, terminations, truncations, infos = envs.step(action.cpu().numpy())
                                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/gymnasium/vector/async_vector_env.py", line 393, in step
    return self.step_wait()
           ^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/gymnasium/vector/async_vector_env.py", line 452, in step_wait
    env_step_return, success = pipe.recv()
                               ^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
          ^^^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 430, in _recv_bytes
    buf = self._recv(4)
          ^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 395, in _recv
    chunk = read(handle, remaining)
            ^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
