/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_22-07-19-18-35/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20208 | return=-151.40 | steps=131 | track=380459b2b59554e0c12ae46b7a96a45b
global_step=20208 | return=-36.94 | steps=55 | track=39e1c87e3d4167aae35b84117ccca16d
global_step=20240 | return=-13.78 | steps=47 | track=d1bdba45dabf761c86846808d8808e0e
global_step=20304 | return=-162.57 | steps=130 | track=c0a13b97e0721aa42313c886f95241a6
global_step=20848 | return=194.10 | steps=72 | track=72ff0701888fd627085c7cb4dd4c7aed
global_step=20928 | return=-20.30 | steps=259 | track=59a61411aa4810c6421eda19d4cd7ba9
global_step=20976 | return=-15.39 | steps=68 | track=44c9fbf2777821176ff93266bd5356e3
global_step=21104 | return=-161.51 | steps=129 | track=5115e9574eb78f6a68fd84ed3e6b119e
global_step=21120 | return=-142.56 | steps=131 | track=e6f8d8e6e28303384a05066380628c69
global_step=21168 | return=-2.70 | steps=67 | track=14c70a5977949b4a09e83c7510f5057e
global_step=21344 | return=-53.46 | steps=150 | track=66069bfee2c5ddf34301d74a124f9bc1
global_step=21632 | return=-190.47 | steps=239 | track=e0f8a4d88fc548e2efe1ba63c22b6a58
global_step=21664 | return=-156.80 | steps=131 | track=383242f36655000d1dd79a7fee956b33
global_step=22000 | return=20.25 | steps=54 | track=cea20f535182b640f5309f58d5768159
global_step=22048 | return=-135.07 | steps=131 | track=ee2276a58037c6e4f548ee5e81c0253f
global_step=22064 | return=-160.46 | steps=131 | track=be6dbcd01587489eb62d3502c1f2a933
global_step=22112 | return=-151.29 | steps=198 | track=093fcdceb2a48b033c994e489c033ec0
global_step=22304 | return=-143.04 | steps=130 | track=fd5670ef4793b7c60f71a15cb78dbdbb
global_step=22352 | return=-137.08 | steps=131 | track=3e47db1ade5fe5e2d0ce564733da48b5
global_step=22416 | return=-158.40 | steps=131 | track=0f59d4b42230c67dd4e73f2b676903ea
global_step=22528 | return=-98.79 | steps=144 | track=15e196725324dc78b3b6ee5d56e4f1b7
global_step=22816 | return=-65.28 | steps=46 | track=92644d2bcaefe581a36566957d26bedc
global_step=22896 | return=-65.69 | steps=48 | track=6c4695329a084b1a6b27091bd7232898
global_step=22960 | return=-156.21 | steps=131 | track=84575ad99e83742e090112d791c64dcf
global_step=23040 | return=-141.43 | steps=131 | track=731360c7376fdad38f1d9bfac83b1437
global_step=23088 | return=-151.78 | steps=131 | track=126e350594b73121dba38b328acf9cee
global_step=23216 | return=-150.54 | steps=131 | track=0a0a107968aca8d195e6d3526f64d648
global_step=23472 | return=-25.91 | steps=132 | track=9cb70a2de76724d057cd075dd4b728b2
global_step=23632 | return=-162.40 | steps=153 | track=4b788f67caf0b1bb0284cb8c901ed304
global_step=23744 | return=-141.41 | steps=131 | track=1dcfb05326b5f32a90028f39c1572031
global_step=24112 | return=-142.09 | steps=131 | track=51b266b64cd6be40c301fa387441c1d1
global_step=24128 | return=-83.50 | steps=153 | track=2072f15de331f89a11a37f87c0e28ed0
global_step=24160 | return=-141.51 | steps=131 | track=ca7c38fcd68298553b4580ac0559f9b8
global_step=24240 | return=10.68 | steps=71 | track=d4442d9dcad9bbe6a72964b2dafab1c5
global_step=24304 | return=-54.87 | steps=124 | track=2adc442063e5d2333bb0e3f64cb2d923
global_step=24464 | return=-151.00 | steps=131 | track=54ce3e801a1b67400c6d8f70583cf4d3
global_step=24688 | return=10.40 | steps=65 | track=0c07b58a4ccc4399b94e5edc45dea387
global_step=24704 | return=-96.67 | steps=142 | track=8594ea56c6e8481cd514e11ae7111bc5
global_step=24912 | return=-166.67 | steps=130 | track=fa729aef690b95fda3b264b141ff01c5
global_step=24944 | return=-4.61 | steps=50 | track=6eae5ec3d09d936fcd92d6c8999bbb60
global_step=24976 | return=-65.17 | steps=152 | track=5bb06a0a3495f0b33d5257a971ca90fc
