/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.4_bud_180_22-07-19-18-33/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=26064 | return=-47.43 | steps=62 | track=f4f5a04c3c4a65c9a209eb07aee2684e
global_step=26096 | return=-140.81 | steps=131 | track=26bfad977e63b92bbac7e14fb8a05a42
global_step=26432 | return=-146.41 | steps=131 | track=5a76272bdfe3cc02f28bbc471777a49d
global_step=26496 | return=-145.89 | steps=131 | track=ad67641e8f079661775bbd05a577ef7f
global_step=26544 | return=-70.88 | steps=147 | track=ccdd3febef7d7cafa36343fef5933ee2
global_step=26608 | return=-140.07 | steps=131 | track=4050bfddfc4ca953653b0d00fd6bb639
global_step=27024 | return=-140.56 | steps=131 | track=230d238ce873adc1de430cb21d405cd6
global_step=27184 | return=-141.37 | steps=131 | track=044917e488881374211fbf13b13d2dc0
global_step=27392 | return=-149.77 | steps=131 | track=f1ca27f499f3566e628fdab2ff9896fe
global_step=27680 | return=-148.25 | steps=131 | track=7257218c7b260382b170fb7a3d01454e
global_step=27856 | return=-139.90 | steps=131 | track=81f18eef58f939f59776dee267555384
global_step=27856 | return=-151.66 | steps=131 | track=095fca66d0bbd1a8695fa489e272e131
global_step=27904 | return=-68.48 | steps=249 | track=90dd5eca9fffe6466e06985dd2242ec7
global_step=27920 | return=-138.00 | steps=131 | track=78a0b1917c712ca63b40069e85800a2a
global_step=28176 | return=-133.06 | steps=131 | track=2c62c431abb878080301ade08687e1aa
global_step=28192 | return=-128.67 | steps=130 | track=1edc373e251c960582d4d16620f8d990
global_step=28528 | return=-153.00 | steps=130 | track=64cbd57456dae900b9607e5ea4844c7c
global_step=28608 | return=-127.97 | steps=131 | track=64516c8268fd70abb25d1cce5eb738d5
global_step=28656 | return=-140.83 | steps=131 | track=414177a42e2ac23f56a26c0f82840284
global_step=28720 | return=-128.99 | steps=131 | track=9b5c2a904b0c6c1fb0745d71dd24a34d
global_step=28992 | return=-141.80 | steps=249 | track=e07e12c018b629c64d62e43dab60ad94
global_step=29280 | return=-146.78 | steps=130 | track=ec4b58ee88b780e20420a37fb6ac2c48
global_step=29328 | return=-120.23 | steps=143 | track=0025aae0b9b6a7da7a7d7bdc06dee607
global_step=29488 | return=-85.80 | steps=54 | track=a004c6099632d34c9a098b9b0f72fc76
global_step=29504 | return=-140.58 | steps=131 | track=a17a922d38c06a4e1a6b759eb7cfa8b4
global_step=29600 | return=8.70 | steps=66 | track=96fd298692365827c5aad5b487622f6c
