/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.6_bud_180_22-07-19-18-34/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=14176 | return=-144.34 | steps=131 | track=91481e152e7f82fe65ff75f8001399b2
global_step=14592 | return=-59.48 | steps=63 | track=db9c7827bf02002e6adf8b3f11369f4c
global_step=14896 | return=-108.20 | steps=109 | track=ffc81f6bfac93d926cdbcbce63849b2f
global_step=15072 | return=-71.31 | steps=146 | track=7c467db93df5ec79a89ec9667e9f8ce4
global_step=15120 | return=-63.09 | steps=152 | track=7d316c67b0c7a9e3d083ec5b8621c93b
global_step=15168 | return=-147.97 | steps=131 | track=3a5eefda162407084c6d4efc2db8db71
global_step=15232 | return=-135.03 | steps=131 | track=1206731ec54041271f54d900875633c9
global_step=15360 | return=-85.49 | steps=146 | track=126dd043715ecdbb4df63ec948bf479c
global_step=15456 | return=-144.00 | steps=131 | track=1cab029e90bec4bc8e73d50a0f79a322
global_step=15472 | return=-143.69 | steps=131 | track=6710267a32516a02d890ea49d6ffd3d7
global_step=15664 | return=-145.41 | steps=131 | track=72778825c1d85af2b8e8d75f9b3732f5
global_step=15712 | return=-40.88 | steps=143 | track=88644a0b3a2239996a59697a696efa77
global_step=15824 | return=-63.84 | steps=46 | track=db9559733d7835d4713119d4f4305677
global_step=15936 | return=-166.98 | steps=131 | track=85402fe323388ababb31f2688fb619a9
global_step=15968 | return=-153.04 | steps=129 | track=e04c78e20559afea28d6d34cbf91caaf
global_step=16032 | return=-27.75 | steps=89 | track=d555ae099fd7150830892e90cf45e65e
global_step=16112 | return=-146.79 | steps=131 | track=624210e29c01f961d3ddbc302975596f
global_step=16272 | return=-136.31 | steps=131 | track=05f323ddff5562c321d9db94df3d06b1
global_step=16288 | return=-141.64 | steps=131 | track=3325aaeb80779366d51c75afdfb8f258
global_step=16384, SPS=82
global_step=16592 | return=30.63 | steps=69 | track=33a275c57e4ba9bbc47087f22be2fbde
global_step=16736 | return=-76.02 | steps=97 | track=052f46c9a79152cb07a60a237a3bcb43
global_step=16880 | return=-10.54 | steps=65 | track=e9070e7762e4e4a4a5befd6c4b65b0ec
global_step=16912 | return=-64.65 | steps=90 | track=2f52c0e700d106e09e4b41884c8295e8
global_step=16960 | return=-36.57 | steps=61 | track=1669347ebf28886cc9a8f514d08ee8d0
global_step=16992 | return=-138.78 | steps=130 | track=3aca1b03f0860d9a6073cb0f9c330eb1
global_step=17168 | return=28.51 | steps=70 | track=e92cb1e2d5bc4223c8a0aae32df91efd
global_step=17232 | return=-123.59 | steps=131 | track=541eda16dc7cdc67109236acdf462940
global_step=17344 | return=-139.16 | steps=131 | track=5b97f61abc29fa2b364b67a191eb16fe
global_step=17600 | return=-28.67 | steps=53 | track=f956ef705b50a67d6d0ad8687b842d54
global_step=17760 | return=-127.67 | steps=149 | track=2fc32a03759d2b701f5e0ccad4905d81
global_step=17888 | return=-30.87 | steps=62 | track=14e3db375a857c52b44950c3d5a30046
global_step=18000 | return=-63.32 | steps=47 | track=760fb86466b30b66f968cd768a257d3b
global_step=18016 | return=-61.60 | steps=146 | track=10c7c6c2172b52f110a48f2c528c8738
global_step=18032 | return=-140.77 | steps=130 | track=dbe93fc5bdecafc39e3fdd59b66fbe87
global_step=18096 | return=-55.61 | steps=148 | track=66072bd0ef8f5bfd7713ab5c9b85588d
global_step=18208 | return=-151.82 | steps=130 | track=f1b6cbee535f738642b9b489688a0b75
global_step=18400 | return=-144.00 | steps=131 | track=9c28c1d67d297c378a83f959a8eaee23
global_step=18400 | return=41.16 | steps=65 | track=e005921b55921ea23e220322d88eac6a
global_step=18416 | return=-73.89 | steps=50 | track=4e8fc7430638cfee54990c9872cea026
global_step=18592 | return=-151.31 | steps=144 | track=15b2a4a5430dc1a3f75ac6dd50558b10
global_step=18704 | return=-148.39 | steps=131 | track=ed815a835d3be5190e08605299e4a195
global_step=18768 | return=-35.49 | steps=115 | track=1aacd6fcab1050c5bc5c66148cd8ffef
global_step=19088 | return=-129.69 | steps=130 | track=145445364391ab1cc7bff2dd356460e5
global_step=19280 | return=-141.45 | steps=131 | track=f9697739d3151c0492491c2fc813d085
global_step=19616 | return=-89.60 | steps=87 | track=e2b5462389fa8a291acae20351babe1f
global_step=19856 | return=-143.20 | steps=130 | track=667d050282278528bfb73bbe9d3ff52c
global_step=19952 | return=-73.07 | steps=96 | track=cf9331966674e383ef04842cc0ee99ff
global_step=20000 | return=-140.48 | steps=131 | track=1a4228c0cafdc07a0a30e759e0bd3df7
global_step=20112 | return=-143.50 | steps=131 | track=e3f68cd7a61fcdae4bbb2f2dc97ee43d
global_step=20112 | return=-137.18 | steps=130 | track=cd40dfeb6523212fd000b50636a6b754
global_step=20144 | return=-136.39 | steps=131 | track=266807d07422f6b2008cbd2fde18ff45
global_step=20160 | return=63.35 | steps=199 | track=a22924cf7a8503eb89cf9f1e031d1bfb
global_step=20208 | return=-151.60 | steps=131 | track=8cc1e8b56344a160f3618f97948fbede
