/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_180_04-08-13-39-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=15952 | return=-150.56 | steps=131 | track=fec92c27ec39442ae87f6c3a4a74fc0e
global_step=16000 | return=-110.96 | steps=131 | track=be0422aab7727702320423f1c5a56b00
global_step=16128 | return=-16.30 | steps=61 | track=c03f442ebec96b4423f9c7116853b1cd
global_step=16160 | return=-91.05 | steps=132 | track=76511ef11699c3129065cc74f8564c31
global_step=16368 | return=21.70 | steps=65 | track=036c47778beeffcc9c2e00c6e5562844
global_step=16384, SPS=86
global_step=16880 | return=-61.26 | steps=46 | track=f3b526544b82927d770bff2a6dd3de78
global_step=17008 | return=-140.81 | steps=131 | track=038afb0fe38e009171f05f82467a9865
global_step=17120 | return=-102.31 | steps=89 | track=30f1cfc50498616c9b236ce76e62f0d8
global_step=17328 | return=-133.05 | steps=123 | track=4a3a24cf5f054dac8de0552ccddeec79
global_step=17440 | return=-142.43 | steps=131 | track=8d130ff324057f544898f98cce507ce4
global_step=17552 | return=-66.94 | steps=109 | track=e5a855b2e6bb3508f42702674e408b91
global_step=17648 | return=-120.88 | steps=105 | track=39dfbd252c7d78df716b52ff8c89dde2
global_step=17664 | return=-117.35 | steps=201 | track=4b3e2f0b798c6251945176d23ccf4cfa
global_step=17680 | return=-138.23 | steps=130 | track=af4a3ad6a26c6f3f01100631d079597f
global_step=17856 | return=-144.80 | steps=131 | track=b91cd26e06b7e73c3b8d7d9f84e800dc
global_step=18112 | return=-138.54 | steps=131 | track=6d0bd9d439ea1f16f5a50097faa500dd
global_step=18256 | return=-147.45 | steps=130 | track=2de533b11c0cf6601877034ec20788ba
global_step=18448 | return=-100.01 | steps=89 | track=470de1f0809244fd8cdd1c9fec0e8cdc
global_step=18480 | return=-142.77 | steps=131 | track=88e71e993ef285c0d2ba0b436c26eb54
global_step=18784 | return=-52.08 | steps=41 | track=3aa8331379ac5e6856a1babb56ef5c9e
global_step=18976 | return=-146.96 | steps=130 | track=b87b79353b0e6a22a5b4eda2e189774b
global_step=19232 | return=-145.41 | steps=131 | track=296000315927b2e3029be479820aa00d
global_step=19360 | return=-117.77 | steps=277 | track=3200f46f409a6e02bcc0f428cca83c7c
global_step=19424 | return=-155.62 | steps=130 | track=2580501a5392bdb8b4cdb0fc15594c3e
global_step=19552 | return=-150.23 | steps=131 | track=cf7af8bc30426ea67a7f5ba58a61f8cc
global_step=19664 | return=-145.06 | steps=131 | track=1432e3e791fe6529bf9bf89856e44b33
global_step=19760 | return=-143.53 | steps=131 | track=b2d609c7076a4d241967a3837688654a
global_step=19776 | return=-116.40 | steps=130 | track=3eb2140fc36389eb314bd98462b04ac8
global_step=19776 | return=-144.90 | steps=131 | track=6dba2bf51196db5c8d156508bf5917a6
global_step=19808 | return=9.19 | steps=270 | track=8d35375846f9d29dcb7277cbbb2ce83e
global_step=19888 | return=-100.54 | steps=68 | track=6c7a5b79fa07c062f5e450cd38d0e522
global_step=19952 | return=-146.58 | steps=130 | track=a33fe15c21299048d8cbbbc8c1c9ebd9
global_step=20048 | return=-85.36 | steps=111 | track=97c95ca2802930be18226e042226ba90
global_step=20288 | return=-7.24 | steps=292 | track=1d177053c45a0f5cfe83c7f6596365cf
global_step=20560 | return=-132.57 | steps=131 | track=6081d99d8a121b1f5cf7815d4f036135
global_step=20592 | return=-149.59 | steps=131 | track=fdaef0e9d6713643475fc86f64f699f6
global_step=20896 | return=31.76 | steps=70 | track=0c0a79d667287e50a07630348712934d
global_step=21104 | return=-69.99 | steps=75 | track=7662acf9e1592e0322b977a53994350c
global_step=21184 | return=-117.38 | steps=101 | track=4fe5632b1d72e2bd4238cbea2d312b6d
global_step=21312 | return=-57.96 | steps=84 | track=ae27aff4a7d74f5c3906a298d4fd8b96
