/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_180_04-08-13-39-40/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16992 | return=-146.90 | steps=131 | track=eacae75d9bfe5c3cd72290392fe46be6
global_step=17248 | return=-84.55 | steps=120 | track=f1c277c18a515527c5f6d012e3d7e435
global_step=17632 | return=-163.61 | steps=250 | track=3ac0f60b01a8fb0161e7c14ed953ed2e
global_step=17840 | return=-119.63 | steps=101 | track=15a3b42001a85500fad51dad920cb605
global_step=17888 | return=-250.19 | steps=259 | track=b77b0a09b92f99331642b7fc0540d5de
global_step=17920 | return=-146.57 | steps=131 | track=eb53cb00480f617f7ba40096c9b73a0c
global_step=18016 | return=15.15 | steps=69 | track=f30b477fdc47f1ce135231b75cf44414
global_step=18240 | return=-81.13 | steps=96 | track=b2953f24cf74bb80e76b9eee462a6280
global_step=18304 | return=-113.42 | steps=131 | track=e83effb7199759868724dacd9f4ee79e
global_step=18320 | return=-154.72 | steps=131 | track=16a57e4e662dc3d6058f7c9d4cd48468
global_step=18704 | return=-181.72 | steps=202 | track=1926803f8b9223d16660581cfeeea413
global_step=18704 | return=-124.48 | steps=182 | track=fd09303decc34faac38859a8c377d3a5
global_step=18864 | return=-146.57 | steps=131 | track=e122d0e3510a17f349c2a6feb74c68f0
global_step=18976 | return=-138.18 | steps=130 | track=eab0cb35cc3036f2f31a09f371f78c35
global_step=19008 | return=-113.71 | steps=109 | track=6cc0fe081519a7e922ab6d897b408e42
global_step=19088 | return=-121.29 | steps=231 | track=7cd400503b2a9f11ce264969ab201c2a
global_step=19104 | return=-139.09 | steps=131 | track=eb14ca514e9f8041a27bc5e2d87e17d1
global_step=19248 | return=-29.72 | steps=76 | track=469ccbeb0f36e42c11d2d46d92fce89c
global_step=19328 | return=-110.15 | steps=89 | track=8a4e12af8df9fee7867274bf2cf8d62a
global_step=19744 | return=-151.80 | steps=131 | track=34a9bec9f48ff404f456b6bb4bb767e7
global_step=19936 | return=-144.42 | steps=130 | track=ca57c1e0363eacb85ead12bc322de8d0
global_step=20032 | return=-150.50 | steps=131 | track=767d8a675aef46775b38d1d3799b3de2
global_step=20032 | return=-21.27 | steps=48 | track=da37ad2bd2ad2ccfdcc2ecc453721942
global_step=20352 | return=-154.87 | steps=131 | track=06169baf28fc7cc2cbcf97a2aecde900
global_step=20416 | return=-163.47 | steps=131 | track=c76b02291babf0d3600bc7e041117210
global_step=20432 | return=-142.07 | steps=131 | track=51031b89dbebaa911261640c22a5be8c
global_step=20448 | return=-130.48 | steps=108 | track=5d30f08a73f2f830638449398ce53d56
global_step=20640 | return=-176.47 | steps=277 | track=34526c7e64c354f7035ac0905633114d
global_step=20816 | return=-146.40 | steps=131 | track=60f43cee5c12e19146686211be53d955
global_step=21056 | return=-90.27 | steps=43 | track=376a988c437fb361be72859acea6dec2
global_step=21088 | return=-135.86 | steps=131 | track=0e4c5614dd23c7f279f63c8e2be3bb94
global_step=21120 | return=-140.16 | steps=131 | track=65328c8fa6b1b3c79bf093d109ca6fbf
global_step=21184 | return=-151.48 | steps=130 | track=89994f8c013ed55a20ba9e7771ae8779
global_step=21328 | return=-22.69 | steps=54 | track=0f99dcf1ee025caa21d66815858a72c3
global_step=21440 | return=-142.60 | steps=131 | track=86eed2d6f7f8925c1f68d5062f3af48e
global_step=21616 | return=-122.49 | steps=98 | track=81f8c80d0458cda6c0b2965811ca3441
global_step=21648 | return=-74.37 | steps=106 | track=cba0e043c06c146c5c4aae7626873931
global_step=21856 | return=-141.82 | steps=131 | track=00083c81694bcadc9b147a96abf07f6b
global_step=21888 | return=-75.92 | steps=91 | track=9dc28efd5915e466be5fe6dac6a80767
global_step=21984 | return=22.12 | steps=83 | track=f0e6164520f7092b446e0710a92a4775
global_step=22080 | return=-158.87 | steps=200 | track=b45b2178435dea42ebfdc3476e2066e0
global_step=22208 | return=-156.03 | steps=193 | track=acdd732cf2635ac7732331899c34ce7d
global_step=22544 | return=-144.00 | steps=131 | track=75f7d38425a406f801fdb3f3c9928d80
global_step=22576 | return=-99.18 | steps=94 | track=3a4c1d6bf66480a98d3c823cbe02aa9a
global_step=22912 | return=-156.50 | steps=130 | track=0da8bb763b60c1294f8c4f214bd9d92a
global_step=22976 | return=-75.92 | steps=47 | track=6ca589303dab13893623f1da1058a416
global_step=23200 | return=-96.40 | steps=131 | track=ae0f29c3cbe01146ba58363b7576b7f1
global_step=23296 | return=-154.73 | steps=131 | track=3b7ee7d4a23ef826715e83a69eddb8e3
global_step=23344 | return=-65.47 | steps=206 | track=6acc21fc20d8e5f96142d6b01efc590d
global_step=23440 | return=-139.74 | steps=131 | track=8458d7833f24fdadf5589403d3ee1b59
global_step=23568 | return=-119.81 | steps=92 | track=7a3144dff95a52e25625a4b709d2662e
global_step=23616 | return=-117.81 | steps=101 | track=533d880771f77a146f833657a870df6b
global_step=23728 | return=-147.96 | steps=131 | track=b8b1d8c77c641f0f145086a97eb26a4d
global_step=23744 | return=-156.24 | steps=130 | track=5db94591b0a3553845fa35c15bad7e73
global_step=23952 | return=-165.66 | steps=130 | track=c1c6774a2c12b2823fd934701f9dfaf2
global_step=24000 | return=-131.11 | steps=131 | track=c44b36f7f61d9a4ff275dabd4a7cb5f6
global_step=24624 | return=-47.09 | steps=55 | track=0c7f860911f5a323338d2f99f9ad6e41
global_step=24656 | return=-148.37 | steps=131 | track=71c44311bfb8d3d68009697bae5d5f28
