/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_180_04-08-13-39-42/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=11600 | return=-7.46 | steps=63 | track=2c0b0fa49f95bce3e0a157c6dfd88a21
global_step=11712 | return=-160.69 | steps=186 | track=33be7d29227b6abe8bcb2d47604ada64
global_step=11888 | return=-137.40 | steps=131 | track=7e924415faa0248d4151dbf978dc59b5
global_step=11952 | return=-53.85 | steps=43 | track=bf6e00f036a0db96c50e47f463ac6171
global_step=12064 | return=-11.94 | steps=219 | track=6298d9241702c0ed75d8209ef53b5040
global_step=12144 | return=-152.67 | steps=131 | track=91fd2cfae5864528b23aac81de6ac448
global_step=12288 | return=-174.22 | steps=130 | track=b9d45240266e39bf979ec7d0bef75dc2
global_step=12416 | return=-108.24 | steps=94 | track=dd1c1e8a59939f820456626a8ad698b3
global_step=12624 | return=17.48 | steps=63 | track=3c2f771a1077a0adbbefa4f36ccee38b
global_step=12688 | return=-138.32 | steps=130 | track=82bd4774181a10767838752bc3491b58
global_step=12768 | return=-152.80 | steps=130 | track=8521a91d5f79c71625a3d5dd59a5c383
global_step=12880 | return=-66.04 | steps=148 | track=a5b415c5d9158010ae7e7ac0c6c6775e
global_step=13168 | return=10.78 | steps=79 | track=051a27c190a0680226f5fb5ab1b3a89d
global_step=13184 | return=-76.22 | steps=69 | track=0a6d48356b0abd46bed93e6e12624bf6
global_step=13232 | return=-83.10 | steps=94 | track=488b82a4857071f9c1bdf1223b6ceefe
global_step=13456 | return=-142.09 | steps=131 | track=2a96669c1617d2cb50845b3c362fe705
global_step=13488 | return=-140.31 | steps=131 | track=cfbda6eb868f2eebc3bf577b25b32de2
global_step=13536 | return=-139.18 | steps=131 | track=3654139116837eb97be51562ce421614
global_step=13552 | return=-140.51 | steps=131 | track=ed63bc2788caa708bb8b83e1729eb242
global_step=13664 | return=5.82 | steps=64 | track=7d6d17546fa7f21f7dcdc05138ce339c
global_step=14064 | return=-137.80 | steps=131 | track=2893a2975b5dde95fa02e018b2590cca
global_step=14160 | return=-11.29 | steps=61 | track=ec30e82feed1d14062a638f83dca3db8
global_step=14256 | return=-135.54 | steps=131 | track=8c956082c6cc9ce6999a85daa0c06910
global_step=14304 | return=-23.58 | steps=69 | track=2f59f4a35da24ad23379144229f7e1e8
global_step=14400 | return=-109.34 | steps=131 | track=56e068a5e8c8aa13e8fc1648761cd025
global_step=14528 | return=-135.37 | steps=131 | track=994642d489b13b4361f9a58be26c6269
global_step=14576 | return=-28.93 | steps=63 | track=682b2e3d3467e722e3829dfeb2b6bebc
global_step=14624 | return=-14.57 | steps=67 | track=e4d94de70b52dce6e04392a97e2483c1
global_step=14800 | return=-164.25 | steps=131 | track=4a9807a60170c84512a679977ee3eab9
global_step=14976 | return=-173.45 | steps=130 | track=4a4e857db322628d6490c1db9117f08b
global_step=15104 | return=-153.23 | steps=253 | track=9b70c5ca7df93028b76284c0b1ac3acf
global_step=15248 | return=-68.56 | steps=154 | track=8587d1893ab47b71f8ffe3de592f7970
global_step=15248 | return=-67.68 | steps=44 | track=f58c621881933c6bff6afb18fda79b72
global_step=15360 | return=-6.79 | steps=65 | track=25679c4bef9d26ca2bfe5f8fd01c6ce3
global_step=15488 | return=-24.22 | steps=76 | track=4ff70d4059e6fd1c873b2544806d3e56
global_step=15552 | return=-143.98 | steps=144 | track=5ac6d703b5a307766f2f80806282c431
global_step=15584 | return=-142.76 | steps=130 | track=c0bbca9dccc5b8bf229d105408175b3c
global_step=15696 | return=8.47 | steps=66 | track=339632ca56e290b4bbad017b24ba2876
global_step=15760 | return=-149.45 | steps=130 | track=842f943d7553a014f3bb9ae7e37c41ec
global_step=15808 | return=-89.27 | steps=146 | track=2f14f67eecd9b8ea5cc6a3825f86bf40
global_step=16160 | return=-168.10 | steps=130 | track=8589f3fd08524ad72a693183c6e7ec91
global_step=16384, SPS=93
global_step=16688 | return=-145.13 | steps=131 | track=be3fc19e47976df95eca7659815d89fa
global_step=17088 | return=-158.48 | steps=131 | track=98bf88c933e7682dc6fd389b71066852
global_step=17216 | return=-86.20 | steps=101 | track=7ebc88a41f4e5dcc0a34036adb4c8ad1
global_step=17296 | return=-50.04 | steps=155 | track=d8f17dc39c6161a4f7a61a1b0dfebc13
global_step=17328 | return=-85.59 | steps=94 | track=c5edfeecf78bcbce4628a6f360fae05d
global_step=17360 | return=-143.38 | steps=131 | track=2062b10ad157125b6d13904042153c28
global_step=17392 | return=-127.68 | steps=142 | track=53fe43a02ed5087f314fdaf5c8a2d6cf
global_step=17472 | return=-140.71 | steps=131 | track=cd3dc81001921bdeed10cdb0582ff5d8
global_step=17536 | return=11.51 | steps=195 | track=67943a56f4abf5a7f52af20be4137422
global_step=17664 | return=-139.63 | steps=131 | track=32eff61fbb007fdeb581d562fb0641ba
global_step=17808 | return=-146.59 | steps=131 | track=f39fadf7df9e10d376a50d57af1b242e
global_step=17856 | return=-110.85 | steps=147 | track=ca07798c757d2e58efb9bd68f6c420a7
global_step=17968 | return=-147.56 | steps=137 | track=b6506fbe5494069bafa3fcdc55520215
global_step=18336 | return=-75.18 | steps=260 | track=4e7d921f11a854cdadc901891db2cf6c
global_step=18352 | return=-32.24 | steps=61 | track=2b0e533c31655bcf75aa1642362f62db
global_step=18496 | return=4.42 | steps=68 | track=b74fb1d30cdec3eb3f0deb577c3578ef
global_step=18512 | return=-58.40 | steps=146 | track=6c17a5566a30a6ee25e77b901b51701b
global_step=18688 | return=-58.85 | steps=44 | track=bd265b70b7ae65392af3e4e2a5ea3757
global_step=18784 | return=-157.07 | steps=130 | track=faa3b03e127524457623f4d4af2c5b36
global_step=19024 | return=179.75 | steps=84 | track=563a20caf1d070a13c6aed72cfe833d7
global_step=19328 | return=-149.15 | steps=131 | track=7eab2d9d5227927ccc2e35bcc6031270
