/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_04-08-13-39-43/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=17664 | return=-140.55 | steps=152 | track=e8b1ffe07efad5b0b18a561e90758ba6
global_step=17712 | return=-109.04 | steps=128 | track=c91928b58ba1bba5da84932644f42a62
global_step=18000 | return=-176.80 | steps=163 | track=0e911d972201f4d7162c640bb2209d4a
global_step=18032 | return=-141.20 | steps=131 | track=2b0e8a92b49d77fca4648b8dbb043588
global_step=18480 | return=-145.56 | steps=130 | track=ec039809bf706a8b6e1cc3ca5b6e3378
global_step=18496 | return=-169.18 | steps=131 | track=f7d2eeb9716789d6587f65503bd0c6e2
global_step=18496 | return=-153.60 | steps=130 | track=7b783023970dcbe04a5833567931c135
global_step=18576 | return=-34.55 | steps=95 | track=3306cafab82e521a480e3dc1aea8d08a
global_step=18592 | return=-173.20 | steps=195 | track=fcdc8fcd385eb42a39e4f31d43cc582b
global_step=18912 | return=-151.16 | steps=166 | track=d55bcd3e87d65637e3beba11efd1923e
global_step=19184 | return=-143.50 | steps=131 | track=1c888b98a604d7206dcbf5a2ff01d3b9
global_step=19184 | return=-256.32 | steps=360 | track=883855770d502fd5346cee66a5fe0f02
global_step=19232 | return=-74.48 | steps=154 | track=653afa8e0048f7a6a20ed0a18706abc1
global_step=19600 | return=-125.92 | steps=99 | track=bad52cd2ba5c8eb056553a9b985067f0
global_step=19728 | return=-148.31 | steps=131 | track=a668f90461ba46e2244d762f810be205
global_step=19760 | return=-133.28 | steps=131 | track=191d83d01e1589184e47183d600bede9
global_step=19776 | return=-146.83 | steps=131 | track=ca9b8da95daf6dc6bf4c5b9b44070bfc
global_step=19824 | return=-147.20 | steps=131 | track=a46c58ede160d3fb1ad282c35612bb8c
global_step=20144 | return=-133.62 | steps=131 | track=3604cf75b6f604ed96872cc606599286
global_step=20208 | return=-100.75 | steps=63 | track=37ed919f7896e74a763efdde9c4485a6
global_step=20240 | return=-117.80 | steps=102 | track=f95988b9516e8fca438ce4482c2287a1
global_step=20272 | return=15.25 | steps=84 | track=bd6c865a2db0decdddba3e77afc48404
global_step=20592 | return=-163.35 | steps=131 | track=1683d06c17be78b48d6984ab32dbb31d
global_step=20608 | return=-153.49 | steps=131 | track=0613b4831ae30c368fc2d0bc42303a8a
global_step=20608 | return=-151.67 | steps=131 | track=5d0b7eca3117ebb88d42fd6344d7dcd1
global_step=20608 | return=-10.29 | steps=62 | track=f91034d61983c14640e5b3676c4846c8
global_step=20688 | return=-141.84 | steps=131 | track=f7753b49443f126b2d6929c2e491e946
global_step=21152 | return=-81.60 | steps=85 | track=55b2007f81fc2662a2b200cc16ec816e
global_step=21344 | return=-146.29 | steps=131 | track=2bbfd086fc74da61b0adbd4b95bd3226
global_step=21840 | return=-144.41 | steps=131 | track=eadaee0a28744094ae67bf7ff5086c2d
global_step=21872 | return=-153.87 | steps=131 | track=ad4a95288c9fbb62644214b9dbd36fc1
global_step=21920 | return=-172.32 | steps=130 | track=c8d32d073dad872f1002fe092b1e3d07
global_step=22000 | return=-170.25 | steps=311 | track=c694d8e2862b7b734f7fa9964c2a1e68
global_step=22208 | return=-116.23 | steps=100 | track=766b2236ad8d55b1163d967bb79fd6a5
global_step=22256 | return=-141.33 | steps=131 | track=9bf4921bdd158c49bc7b2d17cf3d0db0
global_step=22320 | return=-142.80 | steps=131 | track=d235ca8629e0bc49e1fb2950f2755b2c
global_step=22352 | return=-143.73 | steps=131 | track=2c2ed6aac60335501ad7cea6efa8db4b
global_step=22384 | return=-136.62 | steps=131 | track=572957154c8578298ae8812215885836
global_step=22608 | return=-42.53 | steps=47 | track=1eb308ddc337b0c743f57f6c21e82f83
global_step=22704 | return=-163.22 | steps=130 | track=cbd82c69ef372ba3507ea9187afa078e
global_step=22720 | return=-196.78 | steps=220 | track=f5e1847c820392e898b12300bb17bd20
global_step=22784 | return=-179.06 | steps=130 | track=c06c3f7bdc5661140953128d9fbd69b1
global_step=23264 | return=-155.50 | steps=131 | track=b5809f203d85dc5c91e8e2ea04990603
global_step=23296 | return=-44.92 | steps=56 | track=ee9121bcc53c6b3c86466a43d3bf2002
global_step=23360 | return=-191.04 | steps=171 | track=4c1755ce24b2f8bc3173aa6c373dc8ab
global_step=23408 | return=-117.14 | steps=174 | track=8f3a1175892a65a2b1ed495f99dab578
global_step=23456 | return=-150.33 | steps=131 | track=701dcf9fbce561e94e24834ed795ec97
global_step=23728 | return=-125.38 | steps=107 | track=76ee736ad81daf157fdaf7960e2b9fa4
