/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_03-08-23-08-25/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=17456 | return=-99.49 | steps=131 | track=b81f92bcf17da9498d0ee22362271f4c
global_step=17520 | return=25.32 | steps=66 | track=84c0f5b15cf27242a128aa2411752de6
global_step=17664 | return=-92.55 | steps=131 | track=ec246bd4f68961b37b09c01952dba152
global_step=17712 | return=37.49 | steps=74 | track=ef87c5746481d9e9250a5852ba7a9b2b
global_step=17872 | return=-90.77 | steps=131 | track=773543bbe56c0595e8ac91e900041908
global_step=18176 | return=-58.33 | steps=146 | track=423060a8dde74868d32d7fe69d638a4c
global_step=18320 | return=-69.01 | steps=40 | track=3769b89e8d7166f0af8435cd11de4fc5
global_step=18336 | return=-111.68 | steps=131 | track=58550ad59487423163db5e63af6e03b9
global_step=18560 | return=-119.69 | steps=131 | track=4784fc58e9ca5971bb6a16c15bb8d125
global_step=18592 | return=-56.62 | steps=44 | track=de6ac0602a1772edc589f70ffc8966b4
global_step=18640 | return=-113.99 | steps=131 | track=f92ebbaa6dad6a37e36fd31b1ce1143c
global_step=18688 | return=3.74 | steps=72 | track=a9f2d0b11a26422b036159cfbc86c5cb
global_step=18848 | return=-94.38 | steps=220 | track=15538d657cb61ebb1ed0adb3a3f96acb
global_step=19040 | return=-97.44 | steps=131 | track=cba0161be6d810d73ce9c1d42798baa9
global_step=19184 | return=-104.69 | steps=131 | track=c3f63c4987a82203a3c9d78fb4adb641
global_step=19248 | return=-102.81 | steps=131 | track=bc641bb23494a1b8c350562fdb3e7664
global_step=19376 | return=-90.48 | steps=131 | track=278d9a1a979369253ec1b451dd4a5266
global_step=19392 | return=16.17 | steps=65 | track=261f5f975220d3decf00c08e63dc505a
global_step=19408 | return=-94.57 | steps=131 | track=b04bdb09f68858669b1a423b28f0e8e3
global_step=19760 | return=-35.57 | steps=143 | track=da19659d04089a825e2ca01df50e98c2
global_step=19760 | return=-50.85 | steps=180 | track=a1ad6363b4cd5644f7cf321750d2c930
global_step=19824 | return=-102.77 | steps=131 | track=5b6e9644200c2d11f97ca1d83700c39c
global_step=19856 | return=-33.86 | steps=62 | track=45d6cbeb0520103e1735275fc46565f1
global_step=20032 | return=-72.89 | steps=91 | track=0457415cede1cf51103cf9da14642362
global_step=20272 | return=-110.01 | steps=130 | track=1b1d5cd057ad215bd0ae8434ecb9f23b
global_step=20432 | return=-97.75 | steps=131 | track=6e461d40b02bdf5f1e67421acd345911
global_step=20464 | return=0.58 | steps=66 | track=25a550391e2b5ccbc6342b4ed33ab3c7
global_step=20704 | return=-92.44 | steps=131 | track=89cf5ca8e817cae1e64f642cce980783
global_step=20752 | return=-90.82 | steps=131 | track=c08c35ca68bb175d79ee6ab51a6a17f8
global_step=20912 | return=-75.31 | steps=93 | track=583527199ce4000f4f4f88b52e7f6211
global_step=20976 | return=34.96 | steps=71 | track=60c0fc5282ff865662428d31005ef8c9
global_step=21152 | return=-105.86 | steps=131 | track=45fa1959fa9d169573ba9525f3056491
global_step=21280 | return=-101.83 | steps=130 | track=33a2a6fdaeb79909ac3fe4e947e27703
global_step=21488 | return=-107.64 | steps=131 | track=fbb2d8a0b26d8792ebbb80399535ae8d
global_step=21536 | return=-59.52 | steps=51 | track=136f28f7376bf938fb81baf779aa2f97
global_step=21872 | return=-102.08 | steps=131 | track=080b8dd8570c1f1a7dc0aa08419cd9f4
global_step=21872 | return=-100.27 | steps=131 | track=0157f22baddb111375b08fc1f06feb98
global_step=21952 | return=-72.70 | steps=64 | track=c8df0000e8344fb9ed4ea63a0e3a1de5
global_step=22144 | return=-118.34 | steps=131 | track=e0e5ac0820c3024e11b7f2821557deee
global_step=22224 | return=-136.20 | steps=220 | track=0b1cfb104fa6b5cbce2a8ac09656d4c6
global_step=22352 | return=-102.38 | steps=155 | track=81e87259adf5ac0e897d4d389f40ff7f
global_step=22384 | return=-95.98 | steps=131 | track=374a46da09342fe9f4d00edeab74da57
global_step=22576 | return=-111.14 | steps=131 | track=b5c0249be8ef3510a427f310a60429bb
global_step=22752 | return=-120.36 | steps=218 | track=876dc31dff255aaa7b2c3ffe04582c5e
global_step=22992 | return=-59.33 | steps=139 | track=ae8ff50b80602e5c380f9a9e75a875b5
global_step=23088 | return=-109.29 | steps=131 | track=683342383b0b329f36e1e11004ee115c
global_step=23216 | return=-37.31 | steps=61 | track=0304d07f2fbb1f6d220b5dfc2dfea356
global_step=23312 | return=11.12 | steps=89 | track=ac2936c9af5acac5ccf7ee86a69f429b
