/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.6_bud_180_03-08-23-08-20/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=13920 | return=49.84 | steps=88 | track=bf0d84c0a46bd0fa194ec00fa56a0918
global_step=13984 | return=159.59 | steps=143 | track=49967a5abe9dc7b1a2b5d0f3a46e04e2
global_step=14032 | return=-68.28 | steps=42 | track=24049421ba180d610be2b355349e2d1a
global_step=14272 | return=-45.08 | steps=143 | track=afb64bd77bc17296dfe3e63724733be7
global_step=14640 | return=-28.70 | steps=152 | track=eac57fe2eeb37e448cdea1e48d897884
global_step=14656 | return=-58.08 | steps=45 | track=1b350498835bd21a0840c263d70d7f2d
global_step=14688 | return=-111.42 | steps=130 | track=0e0c253e2081cfc1698128693018cbf2
global_step=14720 | return=7.87 | steps=190 | track=0462f9e6feb1a6e0b831a3f3e0e725bf
global_step=14736 | return=9.90 | steps=63 | track=2195175433e9f89b5021f51d77b886ed
global_step=15056 | return=-147.56 | steps=222 | track=0f6393a30a466e8eea8f7ac12e2bf9f4
global_step=15056 | return=-97.89 | steps=131 | track=bca9552ea9ace84522b12e7d6c169776
global_step=15168 | return=-97.96 | steps=130 | track=959eaaa1bb0b32a5b4008d947737366c
global_step=15232 | return=-41.66 | steps=74 | track=fc32258032d2f0a62ed7db28bc3219e3
global_step=15440 | return=-102.85 | steps=131 | track=b29600f29f3328791e25b1b1f87d0a4e
global_step=15456 | return=-55.97 | steps=44 | track=21d2a29e92d200d6ffb5eac8080f428f
global_step=15456 | return=-46.25 | steps=45 | track=82e986858d82aeeb8eeb1ea158bf00cf
global_step=15680 | return=-124.01 | steps=214 | track=4d029ef65d9c76af3693d63e4517a232
global_step=15760 | return=-102.13 | steps=130 | track=f12d85ba5866a121e9556bbad74bd4c1
global_step=15792 | return=-99.43 | steps=130 | track=b72306ca97fa0cb9ec56ddc01542f647
global_step=15872 | return=-43.25 | steps=76 | track=5e03a024b42c0811b5af8f68ef15d2ee
global_step=15968 | return=-95.94 | steps=131 | track=f1a8504ffb68ac6ac6a4d4167ef6e476
global_step=16080 | return=-9.91 | steps=63 | track=b4c1173fe1b8a51cdee4e899454f4708
global_step=16096 | return=-88.98 | steps=131 | track=966dba0fb09f380f2e57cec7fcfb8e49
global_step=16208 | return=-49.48 | steps=47 | track=557fe2778d75eb7cb5219be7582c06ba
global_step=16224 | return=-87.31 | steps=65 | track=bb172b4aea8f722a7b4b17868e754897
global_step=16384 | return=-108.18 | steps=131 | track=b336d17822e8613a329a4e14e14fe4d3
global_step=16384, SPS=95
global_step=16720 | return=9.96 | steps=64 | track=8f2b44433b6f4731c96d7d24c0e0327b
global_step=16768 | return=-105.08 | steps=131 | track=1e50095247fb8ed57204d9aafdb6602c
global_step=16896 | return=28.56 | steps=70 | track=57a17c31df461f31ec1e8c6566e92626
global_step=16992 | return=-77.62 | steps=120 | track=cd8c982b8e4d4aa47ced2c31c5011864
global_step=17232 | return=-80.82 | steps=110 | track=0d94771c7bb64ebb9683e9d3cde16bee
global_step=17344 | return=-95.30 | steps=131 | track=a8b05633645a28216425db9c70947c92
global_step=17456 | return=26.81 | steps=66 | track=5b5bd92964d524e576d65fa1cde4f280
global_step=17504 | return=-86.17 | steps=101 | track=a1d288723bf2ae3d400246fac06b23d7
global_step=17728 | return=-53.17 | steps=45 | track=3efc09d813163d04301940da41a2a702
global_step=17904 | return=-108.23 | steps=131 | track=52b23c37c9cbc927d599d3f51df7b086
global_step=17968 | return=-133.93 | steps=156 | track=83a7a466dada9794c6fc785127607fd6
global_step=18080 | return=-92.22 | steps=131 | track=c4a51648a294967aec956c12dbdd4c3d
global_step=18192 | return=-96.18 | steps=130 | track=d8344b6b51da17bd59bc11518a24940e
global_step=18192 | return=-102.53 | steps=131 | track=bbbbd28a6cb7b15d4d9654493082d604
