/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_03-08-23-08-22/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=13280 | return=-114.30 | steps=131 | track=b2418d05e67be00034e1aa31db62b1ae
global_step=13456 | return=-81.56 | steps=96 | track=93b4f20371da06308bee24cc6c12ebc7
global_step=13456 | return=-57.64 | steps=44 | track=4879d920aa6571ef856022cc71191266
global_step=13632 | return=-96.74 | steps=131 | track=b376f1ed1f2bb614f9ea153138914441
global_step=13696 | return=-91.27 | steps=241 | track=3c1ec29333b4967f36c77d931ad55bae
global_step=13744 | return=-13.21 | steps=61 | track=8cf3b701c3f287b0eb1ca2c6d8130ff9
global_step=13872 | return=32.33 | steps=69 | track=c522762fb14a217bfa891e6688eca21a
global_step=14176 | return=-48.56 | steps=117 | track=36333864075681fda5be69d195faac4a
global_step=14240 | return=-90.54 | steps=131 | track=21034656f6b3d7ca1819048338947d8c
global_step=14384 | return=-98.14 | steps=131 | track=104940b74433961463d8fefc368529d2
global_step=14432 | return=-83.32 | steps=89 | track=e4606ebe681a2847b42a979d221add7b
global_step=14592 | return=-94.15 | steps=131 | track=e47d689e367b7e1c6ae4d7428ae86f96
global_step=14688 | return=-119.54 | steps=131 | track=7a6632e12dffe6202d35a815ed7e869a
global_step=14736 | return=-105.24 | steps=131 | track=5783f08522fd2533edd7d92093bdce55
global_step=14864 | return=-85.65 | steps=130 | track=3b531f5749b551f3091509b6800147c7
global_step=15024 | return=-5.93 | steps=152 | track=05290ada07af44c757ce206e2a918dca
global_step=15376 | return=-101.65 | steps=130 | track=9059cb493e81a363cbfaf20d5628d219
global_step=15552 | return=-104.32 | steps=130 | track=04c9cb85643eb45899a59f0794a5d673
global_step=15568 | return=-133.25 | steps=131 | track=ed38e3b1d80680e035aa850cab592dfc
global_step=15616 | return=-83.43 | steps=63 | track=314f0013b5cf27741402d6644a514b57
global_step=15808 | return=-100.13 | steps=131 | track=dff333b1839e5fff136b7b0bd0b7cf81
global_step=15856 | return=-98.14 | steps=131 | track=d9d38ba8e7682c0ce2c9db501778d7e2
global_step=15984 | return=-95.39 | steps=131 | track=d27d77dd973644704c4db9f58a0078d6
global_step=16032 | return=-83.74 | steps=99 | track=23c939f9cae787a3b8dd6be7de840479
global_step=16240 | return=48.03 | steps=162 | track=f7b0643538c9ecc8328c721bb51ee227
global_step=16288 | return=-96.65 | steps=131 | track=b3ab91b80a1b27ad3dad41da96ad4edf
global_step=16384 | return=-101.29 | steps=133 | track=5634637cbc0cd796c89c33736bc1cc43
global_step=16384, SPS=89
global_step=16496 | return=-120.27 | steps=131 | track=b29d0113dee1ad881a78ca6cc4d0473a
global_step=16576 | return=-80.85 | steps=96 | track=38ef1becdd7532da0f9604bd4499e9e9
global_step=16784 | return=-104.42 | steps=130 | track=bb4d9d3df6c1cc61fe2f63048be626db
global_step=16848 | return=-116.58 | steps=131 | track=f0f5167e0d5d1d39f69f25e599e99783
global_step=16976 | return=-103.53 | steps=131 | track=1385f49cce2c1f0adb4b2f2057eda2c2
global_step=17088 | return=-75.98 | steps=106 | track=28aba3263f32672c6127047bdf4ea879
global_step=17648 | return=-92.79 | steps=130 | track=455dcc96d7fc4a5bdb629c28f46b554a
global_step=17728 | return=-103.25 | steps=131 | track=ab5ed784eb24c54cd02bac632bfce4c0
global_step=17920 | return=-96.30 | steps=131 | track=86dc04936a385d3e9c849bf56f745ae8
global_step=17968 | return=-117.07 | steps=131 | track=4671e3c127877c091e02c1fcbce52707
global_step=18048 | return=-94.42 | steps=112 | track=af08322fe12cf68d0a7520016b5038bb
global_step=18144 | return=-99.76 | steps=131 | track=1ac4da22d631f61c21bd894c76fb3abd
global_step=18400 | return=-92.18 | steps=131 | track=d1b820c41cd7314a40507d1c4c7d4c1f
global_step=18496 | return=-79.49 | steps=182 | track=95a52ed3cd90e267bbbaa07a96bef0dd
global_step=18496 | return=-104.44 | steps=131 | track=bf022bfc2119d49464685a3688e52778
global_step=18608 | return=-111.18 | steps=131 | track=586bae05c23ffb3df78a618455842422
global_step=18688 | return=-113.09 | steps=131 | track=73c50ecf8e7db7f48bef8c4584b37fda
global_step=18816 | return=-82.91 | steps=47 | track=583b598b04768c080a7a8e6dfa5edcf5
global_step=18992 | return=4.81 | steps=66 | track=35ee97713c6f216faef575448a94c32a
global_step=19088 | return=-102.72 | steps=131 | track=016fa91268fa0cb20e41c97e66d5db5a
global_step=19136 | return=-106.85 | steps=142 | track=8411cab9d91a418c19e2712ee924e76c
global_step=19200 | return=-89.24 | steps=131 | track=00d3f4cbf7a38bd74b441556968621be
global_step=19520 | return=-77.46 | steps=43 | track=1e392f1d5da42c10901f2118c70f8de1
global_step=19680 | return=-32.27 | steps=61 | track=e1ffbf25a84992a197a93889b2d3f983
global_step=19824 | return=-105.80 | steps=130 | track=49ca74099d948f747072909cd1f9f500
global_step=20064 | return=-100.24 | steps=130 | track=4ac9b86d8f1ae98b8743e46ba7cd65e7
global_step=20256 | return=-50.42 | steps=45 | track=144f5df46825471e8ea69a83403a24d2
global_step=20256 | return=-115.49 | steps=131 | track=6d7e7695ffe38204ee840981078fb280
global_step=20272 | return=39.93 | steps=116 | track=264b64cc5b06aa850b2f80bef5a923ae
global_step=20272 | return=-27.60 | steps=73 | track=1050f0121ea1c9e22404d37894daff29
global_step=20592 | return=-103.12 | steps=130 | track=f2acf12c686e129617eee807dfbca309
global_step=20720 | return=-97.48 | steps=131 | track=ded12813cbbd5bae26c4784edb97ba49
global_step=20944 | return=-156.19 | steps=259 | track=6a9da31528f152fde87da5ff6ff239a4
global_step=21104 | return=-99.21 | steps=162 | track=06d19ca9e5c7e471796731fe2c99a952
global_step=21248 | return=-101.23 | steps=131 | track=491a76fc57d24cde1ce2558470f3d3d4
global_step=21312 | return=-63.69 | steps=144 | track=ca0745382511377afbb89627b929d541
global_step=21312 | return=-104.64 | steps=131 | track=450190dcf67e293e3af42c86ce278795
global_step=21600 | return=-4.29 | steps=350 | track=218f0d907ce516b895845e6fefcc1e50
global_step=21776 | return=-102.42 | steps=130 | track=4cebea9fd1a6c7a3c427b7fc01f71edd
global_step=21920 | return=-106.86 | steps=266 | track=56b7208b43a1f132a6ea0e91d0449d5a
global_step=21936 | return=-100.69 | steps=131 | track=4eec9a9bc78d7d7019ccfe228e8930a4
global_step=22176 | return=-112.26 | steps=131 | track=61f638f791a180e7c5674e6d3a439bd9
global_step=22176 | return=-80.31 | steps=98 | track=315a804bdc0e2aa58e39239b23c310fa
global_step=22336 | return=-11.98 | steps=63 | track=fae16da1ae9811f35438443eac43f5ec
global_step=22352 | return=-95.64 | steps=130 | track=8ec1dfa47bf5cef85458c72b155c33fa
global_step=22384 | return=-122.14 | steps=131 | track=e46595dd0dad95ed71152d72f972ac32
global_step=22832 | return=-106.06 | steps=131 | track=a9eb5d6aefd51ef58c446aed24b80394
global_step=23008 | return=-36.84 | steps=66 | track=28b1e3e03665251b6a914afcf37b0fdd
global_step=23056 | return=-93.20 | steps=131 | track=c4b8911e166405340fe59e0ea250105a
global_step=23280 | return=-6.90 | steps=122 | track=371aadfa4ae1d323388feed109f5bf28
global_step=23552 | return=-78.07 | steps=152 | track=a86658b26aff94681952e2f3d6b2606a
global_step=23616 | return=26.57 | steps=147 | track=6d3b5654d3f94b65c7532a5ad9cd6703
global_step=23712 | return=-98.64 | steps=131 | track=20e18308b9a13b381aadb8e27056175d
global_step=24032 | return=-115.97 | steps=131 | track=6e4bebd3a88b1439869175253aed9b00
global_step=24080 | return=-34.16 | steps=143 | track=51ca102d20a513064ce88e11abe770ee
