/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-22-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=18624 | return=-130.24 | steps=131 | track=2e2b4a62afcb9b5c68d02e3855f4947d
global_step=18912 | return=-132.51 | steps=131 | track=5b5a432cc510ba2e19b1568c38351585
global_step=18912 | return=1.69 | steps=88 | track=1642ae2f04e401a48edb6a4f99787adf
global_step=19088 | return=-126.26 | steps=131 | track=710bc0be0b62ab6e62a4ecf1a5b6bafc
global_step=19408 | return=-51.71 | steps=48 | track=4a79f00780907705309bf9221982825a
global_step=19488 | return=-42.52 | steps=57 | track=758e4606b9917629721ae5ed628ca5a9
global_step=19504 | return=-76.22 | steps=101 | track=f3c3c42dfac166a9f858b76ec7ba6665
global_step=19648 | return=-128.50 | steps=131 | track=918bdc1a40cc47d1c4c70c083d39bbf4
global_step=19936 | return=-134.10 | steps=131 | track=c68226396cb36ed6afc1680a0473d2cd
global_step=20000 | return=-125.17 | steps=131 | track=7ce7452578a61c5e96d567e3d1a5f557
global_step=20032 | return=-43.88 | steps=96 | track=cf66475ce6609b16b9df055e5f273450
global_step=20304 | return=-80.92 | steps=146 | track=67562bbd9b84acc3f7dbcd23eba42471
global_step=20352 | return=-128.26 | steps=131 | track=fa124070be9400d795a74b2227427789
global_step=20384 | return=-57.71 | steps=80 | track=036ec5ca93c24166be2449b2e711b9d5
global_step=20544 | return=-126.26 | steps=131 | track=2eae83f8d77edb303e961f9afc2840de
global_step=20688 | return=-128.72 | steps=131 | track=766319a190a43bae65c27ff20eef336e
global_step=20880 | return=-71.07 | steps=208 | track=c9ac1c4d118c7ab844f6721e319e7c04
global_step=20976 | return=-134.20 | steps=176 | track=f91c4b564efb71547d41574a0d3be97e
global_step=21024 | return=-134.41 | steps=131 | track=d6fc616fe8ed0316074f89879ea85d7c
global_step=21280 | return=-65.59 | steps=147 | track=a56eb6df5af6068c7a6bbd9cfc1299e4
global_step=21520 | return=-131.97 | steps=131 | track=22a07284c88b235e5c4ae721aad6ef73
global_step=21584 | return=-143.07 | steps=130 | track=327a30f4290e6dfca62258ac0985a5a6
global_step=21616 | return=-138.32 | steps=131 | track=056d78db2ad5fde3957005da26bce877
global_step=21760 | return=-126.40 | steps=131 | track=9934ecbe52c4117c3ea465ca7fbfaeeb
