/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.0_bud_180_21-07-13-22-36/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=8416 | return=-123.26 | steps=131 | track=5700d403448703ff659e0d82263a1311
global_step=8512 | return=-127.97 | steps=130 | track=d7b25e1216541d96f46d08ffe92c6a78
global_step=8544 | return=0.41 | steps=45 | track=c3236b73d274d1419bf7cb911ad1811f
global_step=8640 | return=-128.70 | steps=129 | track=9e8890217a84a2d8f496bf51b1814b06
global_step=8704 | return=-128.34 | steps=131 | track=6c8d4342c5096e54c1ac980c7d96781b
global_step=9168 | return=-17.92 | steps=112 | track=e4782bcb7056e185d4be79acc389980e
global_step=9472 | return=-126.58 | steps=131 | track=601f3b6938742b63ef5c5267f5dc7ebb
global_step=9472 | return=-124.48 | steps=131 | track=64d272f937a5a2441c823eefa1efb9b7
global_step=9504 | return=-130.21 | steps=131 | track=342b9ed6e099084e31ba4d26d89dec4a
global_step=9616 | return=-72.24 | steps=68 | track=e3aab743b4ae9310241946afceb5c01a
global_step=9632 | return=-122.25 | steps=131 | track=9614f216ab2cb46004b8eb4f543ec50d
global_step=9696 | return=24.31 | steps=79 | track=e0b6058ca449a2621b747c4072e11bfa
global_step=9744 | return=-64.37 | steps=145 | track=2d60757905486d557a9d564368f13a6e
global_step=9792 | return=-26.42 | steps=154 | track=52bcbff349b8804b3d7d240af369725c
global_step=9952 | return=-129.39 | steps=131 | track=59ed1518e230ca860b26140935681052
global_step=10512 | return=-131.40 | steps=130 | track=23a22f8923f967902d7cbfb2d506f8cb
global_step=10512 | return=-126.13 | steps=131 | track=52046c1e5f9ab4f8a7e9620e96474b69
global_step=10656 | return=-123.26 | steps=131 | track=d269240ee3f11513254718519fa9d42d
global_step=10736 | return=-137.09 | steps=130 | track=4385ac627db8f834e054f73fae91fd47
global_step=10816 | return=-119.58 | steps=131 | track=bee4f4f07fa4930f57d1751f51cea334
global_step=10992 | return=8.51 | steps=160 | track=188938fb41f7aa30838ea2ae70b8ba3a
global_step=11008 | return=-37.80 | steps=81 | track=b83e581204d723ade4b8239deafde9cc
global_step=11040 | return=40.58 | steps=67 | track=647386e63ab22db8ec18a5ae9a69b81d
global_step=11280 | return=-120.13 | steps=131 | track=9775886a6d236f37ac780e14b5ed7161
global_step=11504 | return=-8.92 | steps=61 | track=a5afb2f3d029fdf074fbd09c65379dd8
global_step=11584 | return=-132.91 | steps=131 | track=af68a85993c3e65287b744fed0d1428e
global_step=11584 | return=-124.00 | steps=131 | track=ffff597e5d2e102e295ec7d66c760f12
global_step=11616 | return=-125.90 | steps=131 | track=db7ebcbdb9a3cf0e9f1a964f17e5216d
global_step=11728 | return=-127.91 | steps=131 | track=6dbab0c71d1be8b7cc215a5c446ecc94
global_step=11744 | return=-120.40 | steps=131 | track=cbf6e5ada833aa2d49c3cbf7ec36b15b
global_step=11840 | return=-134.11 | steps=130 | track=443c3b732128c2f385bf619bcf15d881
global_step=11920 | return=10.23 | steps=68 | track=8d8e0eed7003f0c965347c675c39f03a
global_step=12000 | return=-78.61 | steps=137 | track=b9f2ad44fca55c677efb1aafb683082d
global_step=12032 | return=11.41 | steps=63 | track=82b53d052c4127bb291665bc4afd5db4
global_step=12576 | return=-19.61 | steps=61 | track=f7c99e8f7ae44f4cc9abcd2ede4433ab
global_step=12608 | return=-5.49 | steps=63 | track=e4b771fc7386162c1565183fa0e0c486
global_step=12624 | return=-136.05 | steps=131 | track=ddeefcfb465c2bb07f6018a29bafaad7
global_step=12768 | return=-121.20 | steps=131 | track=857c465f3e30ba24a5caba690f545f84
global_step=12848 | return=-121.99 | steps=131 | track=7843561078f04b3b3d108c687f594d0d
global_step=13104 | return=-128.98 | steps=131 | track=dfee39a89e644c3fb63fd8b4aff59621
global_step=13152 | return=-129.39 | steps=131 | track=6bf4afde0a99a8936b67385cc535e90d
global_step=13312 | return=-69.47 | steps=112 | track=40a1a793b846295e55f4f5c856e0c69d
global_step=13472 | return=-32.12 | steps=53 | track=696fe52c8ec1287dd988671c5a103df1
global_step=13632 | return=14.98 | steps=65 | track=1e47123c82ffbbc45e9d7165bbc02bbc
global_step=13632 | return=-55.69 | steps=146 | track=edb07734515283fcd424aa1e0a943972
global_step=13840 | return=-131.60 | steps=130 | track=4a2b0839566a7ce05f4d098da1c1deee
global_step=13840 | return=-124.96 | steps=131 | track=4233e7e651ed91458176493157cd90bc
global_step=13952 | return=-131.59 | steps=131 | track=eb212e0234a918c6d009aadbbb2d771a
global_step=14016 | return=-126.82 | steps=130 | track=ea92213deb169f8157a706028aa68c7d
global_step=14112 | return=-124.72 | steps=131 | track=4a0a53b4f3cc69d569146934048fece2
global_step=14144 | return=-125.20 | steps=131 | track=f5ef8ca1134d7effd1e38aff99c79159
global_step=14368 | return=16.46 | steps=55 | track=bedd659d7c5283e7ce76ea0f735ff334
global_step=14736 | return=-126.36 | steps=131 | track=8f87c0353c83ad9f4370761f1e6b00ee
global_step=14880 | return=-133.09 | steps=131 | track=155dd748d0e20e7fbc517bf26cadcab1
global_step=14944 | return=-45.59 | steps=49 | track=2af1650bd48a20c60fd69e5d2af4bf82
global_step=14960 | return=-133.82 | steps=131 | track=aeaae909c4aa422d65f1e6e6ef8956cd
global_step=15200 | return=-128.64 | steps=130 | track=e710fcc28bb445528a816c26deb18eb5
global_step=15264 | return=-133.82 | steps=131 | track=a41cd2ac5eed3e8d42db2d29ef9dc6a4
global_step=15280 | return=-44.13 | steps=56 | track=8802543aded04027e8de30a77034fb2c
global_step=15328 | return=-103.78 | steps=231 | track=f7eb44c2c9151c66579c3750635e3cb1
global_step=15424 | return=-60.15 | steps=91 | track=2af9e60345d57cbb8186b4b917cdade2
global_step=15424 | return=-124.96 | steps=131 | track=01437664f6a96fe3e8d03bcd7e5e8208
global_step=15744 | return=-124.00 | steps=131 | track=4b02d39bd3d5711f9d1fd4fe08f22b5b
global_step=15936 | return=-134.29 | steps=130 | track=83a0dc56dfafe3023c6bbe3d9d259a09
global_step=15952 | return=-101.73 | steps=131 | track=1c5f00ede2321ef9705697445cc71661
global_step=16128 | return=-122.50 | steps=131 | track=435f6909bc5e9fefe0350c8e6dbb53ca
global_step=16224 | return=-120.40 | steps=131 | track=5d244a31cb47e65e4bceec7445ea03a2
global_step=16384, SPS=99
global_step=16400 | return=102.25 | steps=172 | track=ff9838dd39185d0623d2dfef23e7f923
global_step=16416 | return=42.02 | steps=75 | track=39491958ad23d16043ef9eeaba6a8628
global_step=16448 | return=0.50 | steps=63 | track=c2395fddad281baeab4d15e46fb16623
global_step=16496 | return=6.00 | steps=66 | track=0f97d5e81cbd145113c54b306e95060a
global_step=16832 | return=-129.52 | steps=130 | track=1dd4b948b3862559de89d0f0edd17927
global_step=17056 | return=-123.75 | steps=131 | track=e5056fee36f386cbbdd79f855e3ae50a
global_step=17072 | return=-121.47 | steps=131 | track=06245f0321ce964b3ddd17fec9b895a4
global_step=17152 | return=-7.14 | steps=46 | track=525d56a7d612c2ddbd68d7f8c200597d
global_step=17376 | return=-131.20 | steps=131 | track=7ee9dd69f61dde4b41facbdeeb1f94a3
global_step=17392 | return=-131.97 | steps=131 | track=6381cb54761bbdba872512dd8d79b7ef
global_step=17408 | return=-11.20 | steps=61 | track=5dc95987c71ad1412236ab1a9f9f16e8
global_step=17440 | return=-125.90 | steps=131 | track=e48f0e55a02a255f8ab87e0d634e2679
global_step=17856 | return=-122.76 | steps=131 | track=e16dd4a97400f35fd814b5b4bbb6f2c4
global_step=18064 | return=-128.34 | steps=131 | track=01fb54e283a72f1ea297073bf423805f
global_step=18112 | return=21.81 | steps=65 | track=a8603a3e282fe55a97c8bd4f3735723a
