/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_90_04-08-13-42-33/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=14736 | return=-161.52 | steps=130 | track=b3408dfeb61359848602aadd21c1cfd5
global_step=14768 | return=-65.16 | steps=41 | track=ac6f5d7d2625e71708e56fa2f922c10e
global_step=14928 | return=-156.42 | steps=130 | track=f916d9eb98785760a2397ffb99f5960e
global_step=14944 | return=-154.37 | steps=130 | track=af4cb2ee20a2740d2c5dadded0266486
global_step=14960 | return=-103.79 | steps=131 | track=2c96e520844a970a57b009018d97f877
global_step=15088 | return=-154.70 | steps=131 | track=146e391042ebbf59f8bfb1a200555c62
global_step=15168 | return=-128.13 | steps=131 | track=d7a71d7b43e32d8f1d373ce6c3a815ce
global_step=15376 | return=-133.47 | steps=131 | track=86de57453a7bac49f80b30557f6fd17d
global_step=15552 | return=3.36 | steps=80 | track=69d07cfb017819359a5c60d837b60873
global_step=15664 | return=-10.46 | steps=59 | track=432607729132a26c9e21bde2c6b15d37
global_step=16048 | return=-56.57 | steps=102 | track=4636b17bc34c42345364208aeebf75fc
global_step=16096 | return=-29.98 | steps=44 | track=c8f60cacd6351364ccdeaabefbd77a16
global_step=16208 | return=0.33 | steps=64 | track=f71d68dc7f2705cd32e23f00370fd1f6
global_step=16288 | return=-170.01 | steps=131 | track=041b5482c2716e921ea2d8ea994dd9b3
global_step=16368 | return=-161.01 | steps=130 | track=d352243abeb4a5e77bfeea8833148a02
global_step=16384 | return=-126.40 | steps=100 | track=670223dd66e83f266df31b9cb3c08e1a
global_step=16384, SPS=71
global_step=16512 | return=-147.30 | steps=131 | track=11ef4c3be7e80ba374a521145ec0aaf3
global_step=16528 | return=-148.01 | steps=131 | track=0d45730abbdd3aabad6fdcb57bc68a56
global_step=16608 | return=33.66 | steps=65 | track=0fd5fb88588e5443ae5cf7c565f8a017
global_step=16848 | return=-147.80 | steps=131 | track=9bba03eb30afc88cbd165ee44dda582f
global_step=17040 | return=-147.40 | steps=131 | track=06eff6a528c41baf9e53225f51a48141
global_step=17056 | return=-134.94 | steps=131 | track=e5847310d3c677740c7d2876db4095e8
global_step=17072 | return=-162.87 | steps=131 | track=ef79c98cf29f6735c0d7018e97fa9a65
global_step=17264 | return=15.29 | steps=65 | track=02a07b2cdee19119317195d29bcfb069
global_step=17264 | return=-52.74 | steps=99 | track=ecb56a15aca53fa78f1d4e566022b377
global_step=17488 | return=8.13 | steps=192 | track=518491d266be34571d5e09de46ef1b9f
global_step=17808 | return=-108.03 | steps=89 | track=8c8bcc765a9b70c9e60955e040ac8836
global_step=18160 | return=-143.20 | steps=131 | track=ee0a62a6300448fd3c94670640bffba3
global_step=18208 | return=-144.98 | steps=131 | track=72b29a0dc84186983fee5cd4f239c45e
global_step=18384 | return=-145.52 | steps=130 | track=d2610eca0e018f5423199349c1c43e1d
global_step=18480 | return=-139.75 | steps=130 | track=55ecc482c547303ef0555726ae8ea1d7
global_step=18608 | return=-155.55 | steps=130 | track=b63a1e92e560d3824b057676bd9abfe2
global_step=18720 | return=-156.96 | steps=131 | track=077b9144996f6e18cf7ccc56da789c55
global_step=18832 | return=-68.72 | steps=143 | track=cdfe60981f5f260d285fa81ff95cbdfa
global_step=18944 | return=-147.40 | steps=130 | track=2871a90869303722bcd69599146418ff
global_step=19168 | return=-149.92 | steps=130 | track=44b467ac263e4ca6ccec1cc84d124e11
global_step=19168 | return=-137.40 | steps=131 | track=f1b449280b2f945316ddb2581ca314ed
global_step=19232 | return=-134.58 | steps=122 | track=707e2055911f5f3bc2c369482c84c9f4
global_step=19264 | return=-111.37 | steps=138 | track=3de774aeb6d3783c78e7ad11782a0fa7
global_step=19360 | return=-135.51 | steps=130 | track=2843a98034aebf5bb6f9ad2aa354ef5a
global_step=19360 | return=-58.55 | steps=46 | track=c8c4afadcd393a558873bb42cf6da2b3
global_step=19600 | return=-158.87 | steps=131 | track=df73d13dc98d24613e82b6df7063158d
global_step=19904 | return=-14.30 | steps=300 | track=b320b0edb9e6788c8111b2ad462b9a8f
global_step=19920 | return=-116.23 | steps=131 | track=a534632ebbda1c6ff5d97423fe2464e6
global_step=20032 | return=-39.22 | steps=47 | track=b5644b680e73d6e3d70137f88617a6f6
global_step=20144 | return=-49.33 | steps=48 | track=2018fc379b0565aab7b111229834f3ff
global_step=20272 | return=-157.39 | steps=131 | track=7845839156fbf79e608956bd96e0800b
global_step=20304 | return=16.56 | steps=66 | track=081102b00833ff5735c78ae4f842fd9f
global_step=20320 | return=-133.47 | steps=131 | track=136d151c560c64b789824b4c0669bd5b
global_step=20608 | return=-95.74 | steps=89 | track=161a42cab0a14fd1ba6a640eb03cae77
global_step=20784 | return=-129.44 | steps=149 | track=edbe75d046ccaf632a7d7c6818c13a65
global_step=20832 | return=-138.76 | steps=131 | track=c66769bae63d7374af2bf88a403c5ab1
global_step=20992 | return=-48.63 | steps=42 | track=088ffe9c80d188ec29c49d85da664d01
global_step=21056 | return=-145.25 | steps=131 | track=3118341d8084e6349765062683d1dd9e
global_step=21280 | return=-161.03 | steps=131 | track=ed57903bf86401ee429c3876c53404b9
global_step=21472 | return=-120.62 | steps=97 | track=00c3a8187405b3b1cde61b5bc4b33b19
global_step=21648 | return=-140.63 | steps=175 | track=70f5db6a717bfad744fc6f2ec84e3636
global_step=21856 | return=-100.92 | steps=140 | track=24930c12ad7864ed744680066d02bbfc
global_step=21936 | return=-46.96 | steps=58 | track=d373248477b06e4b29f2c9cffdf60b03
global_step=22096 | return=-164.18 | steps=225 | track=8287ca49d41421765275237409638efe
global_step=22144 | return=-139.86 | steps=131 | track=2874282a23b9fb37063f2903007fa52b
global_step=22256 | return=-148.36 | steps=131 | track=fef0896a8aaa90f5f8581494bc1e0589
global_step=22368 | return=-145.55 | steps=130 | track=652ef1faebdb14a1ae7485da76867e29
global_step=22416 | return=-165.37 | steps=130 | track=5aa61d1a68e7c7758b2509c4999ab74a
global_step=22512 | return=-106.34 | steps=161 | track=0a18020c6a7f058c727af2e7c185d95d
global_step=22560 | return=23.87 | steps=67 | track=b0826b49bfa38230d5be07bc684a30dc
global_step=22720 | return=-149.01 | steps=131 | track=a18517e0ab24fb5ef52013a6bacec22f
global_step=22880 | return=6.66 | steps=76 | track=3aa3b85618a503ac1613699a20c1a5ba
global_step=22880 | return=-143.94 | steps=130 | track=777f092fa02dc5045648e3e5e0d15023
global_step=22944 | return=-143.40 | steps=131 | track=61f6a45d1220c3bf5342e52a6b8a39e1
global_step=23136 | return=-45.89 | steps=64 | track=5bd61ff4a4f3f120b05ea42f31de456e
global_step=23376 | return=-141.13 | steps=130 | track=d0904b5022a8278e8b940abc6e8c88aa
global_step=23424 | return=-18.63 | steps=65 | track=728b22478fde25c2adc380b042212500
global_step=23584 | return=-114.19 | steps=102 | track=b5b02fa36db2a199a71925822bbb5ae8
global_step=23920 | return=-73.26 | steps=93 | track=e3e8bd97bf5b9014fecd9661db867487
global_step=23952 | return=-153.37 | steps=130 | track=1333d44d69407b8399369dbbbca37ee6
global_step=23984 | return=1.22 | steps=68 | track=22e6b82405d82159b2d26da8922b19ff
global_step=23984 | return=-4.24 | steps=288 | track=001f0f4f67c80289a9dbfba041e45edc
global_step=24128 | return=-34.89 | steps=43 | track=78277d70d8d443a07d4270f8eea9560a
global_step=24240 | return=-163.05 | steps=130 | track=12d10de65e818e4e7cfdbedf239ce2b7
global_step=24368 | return=-153.46 | steps=131 | track=def44da45bd80da8e74abaf2d8206c81
global_step=24608 | return=-145.08 | steps=130 | track=9501f5659507534642df868822b609a9
global_step=24672 | return=-143.04 | steps=131 | track=e028b8ecff2348b1e8c17067800524e4
global_step=24736 | return=-26.19 | steps=50 | track=5a021d3cb418113fa47fe6a6c0e665fc
global_step=24736 | return=-109.83 | steps=99 | track=64216bb4af22d65d451ad3bdc503e201
global_step=24848 | return=-141.67 | steps=132 | track=5040e3bd6d32ca876c6c9dae37d00966
global_step=25040 | return=-29.22 | steps=67 | track=f9f4bda325faaf610462416d6a6322ed
global_step=25056 | return=-139.90 | steps=131 | track=59d51c6043a286e6d458a91abd907944
global_step=25072 | return=-143.20 | steps=136 | track=659f923ad00ee13633a98cbaba622786
global_step=25152 | return=-68.54 | steps=48 | track=7f4efe283f5cc515648c768e1693c2fe
global_step=25328 | return=7.13 | steps=67 | track=fc93997fe864d0fea3cf8494491baf61
global_step=25488 | return=-142.01 | steps=131 | track=b023a99af589188ff1c06a2f3cc28b72
global_step=25488 | return=-66.92 | steps=93 | track=f802e2cb0a46e1ea8acbe1f07cca30e0
global_step=25536 | return=-234.14 | steps=279 | track=dbc901961ad620084dfdf7818b5fc429
global_step=25696 | return=-148.98 | steps=131 | track=6e89ae68da93690fde4fb99c66b3dd00
global_step=26032 | return=-23.52 | steps=61 | track=a3ff4b2ca2d561cf362f2b56795eb339
global_step=26096 | return=-149.01 | steps=131 | track=ef645e303c0c8c7077335b822869b254
global_step=26144 | return=18.95 | steps=66 | track=1891b5e90eed57c288cd0aad81b9f097
global_step=26560 | return=13.13 | steps=66 | track=9169d4bc7d608a60bd7c4557ca36530e
global_step=26560 | return=-80.70 | steps=93 | track=a5302c9422eb649bc43df6ce8cff0755
global_step=26720 | return=-159.97 | steps=131 | track=6947ddc1830e61ad612b9cec6fceca59
global_step=26832 | return=-169.55 | steps=130 | track=1d0b5b552bfda802340738ebcd168383
global_step=26832 | return=-66.47 | steps=45 | track=a6880483d140a15f6d91250629bf368b
global_step=26848 | return=-142.55 | steps=131 | track=58cd2ed6605481500d51e815117e1671
global_step=26944 | return=-129.73 | steps=130 | track=f4ec5fa900efbf0e25a73408ce3ede00
global_step=27248 | return=-122.89 | steps=130 | track=6322be738322c3052fabfe542cbd507d
global_step=27360 | return=-83.86 | steps=167 | track=bcfb19d484be2e41e94c956352e83ba2
global_step=27600 | return=-152.58 | steps=131 | track=63c8ab013f8c115a3ddfae2dfe3e9139
global_step=27632 | return=-111.84 | steps=130 | track=7832ffdee647d307fa58bf55c8378ec5
global_step=27792 | return=-157.30 | steps=130 | track=9c0848551b382abf90bdf930321acadc
