/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-42-33/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16752 | return=-83.49 | steps=247 | track=3f7878d2d984a88e5a1d4c3f9613d658
global_step=17120 | return=-149.61 | steps=131 | track=581b6b0405e555e4c2948558b37cab03
global_step=17184 | return=-34.02 | steps=78 | track=39fe2baf31f3d46b8f00b3973991ff72
global_step=17488 | return=-151.37 | steps=130 | track=bc0fdd2a1ba50f3f146c0b7c20791d7e
global_step=17632 | return=-247.08 | steps=453 | track=6d90d6329967c255c7c1515d91763155
global_step=17824 | return=12.52 | steps=66 | track=50a6eb7eb3ff692f57d41e38a8824003
global_step=17856 | return=-130.90 | steps=131 | track=0da9cfde486d843382cf25d50f3ab369
global_step=17856 | return=-149.49 | steps=130 | track=98f731c91b6365d0585a28077ebb9ae0
global_step=18000 | return=-147.59 | steps=130 | track=524715ab11234168bd0b23e25874713a
global_step=18064 | return=-156.03 | steps=131 | track=e881725a37887cf9411418ef48ca0042
global_step=18064 | return=-137.69 | steps=168 | track=30b6b6321ed4384a38954d6152da455e
global_step=18208 | return=-147.31 | steps=131 | track=59cdc338444445a09b8a3fa29d705fab
global_step=18240 | return=-146.83 | steps=130 | track=b362130209cc844d251cf60c7c0160e5
global_step=18352 | return=-129.91 | steps=114 | track=db62c55d9df9e470913b5ea0f66a95a0
global_step=18496 | return=-146.08 | steps=131 | track=2af6b70d98755cbc62555352f95fd46b
global_step=18592 | return=-155.31 | steps=131 | track=d3bc878c70d0796f7025939d9fbf14e6
global_step=18720 | return=-133.50 | steps=131 | track=b775a6a994cf473a9b886bd47f580491
global_step=18880 | return=-51.58 | steps=50 | track=568200bd8879776853cd91a1a7628db9
global_step=18896 | return=31.01 | steps=66 | track=de023c25206c8b1d6d23e6372bbc1b57
global_step=18992 | return=-63.49 | steps=93 | track=fe30e1ba5f40c2c7e7d251b5c63ee034
global_step=19008 | return=4.89 | steps=71 | track=0246d7752c9ace69de56716a74a7dd10
global_step=19232 | return=-160.16 | steps=131 | track=05ab7243ceb04cc6d147a720aef141e0
global_step=19248 | return=-42.58 | steps=62 | track=b66468ea6e7356f40fe8d465b8f91241
global_step=19296 | return=-144.18 | steps=131 | track=146322011b164c60468ddd4a46fdb9a9
global_step=19360 | return=-110.83 | steps=71 | track=f15cfe1f88958f7fad89c80e4082770e
global_step=19744 | return=-160.43 | steps=131 | track=17ec74bc0b7ff22967cb90fc79315b64
global_step=19968 | return=-146.49 | steps=131 | track=f0417152ffd1c0fd7f5d4cc3e61936a3
global_step=19984 | return=-104.17 | steps=68 | track=21782c5ac15b274f22bce03a1cb27f78
global_step=20000 | return=-55.98 | steps=62 | track=31f09eaa75cf275569ff2b065536e499
global_step=20112 | return=-153.89 | steps=131 | track=caf645eeacdaa2c26f478f74a566221b
global_step=20160 | return=-152.65 | steps=130 | track=14533a63a8fa7c296e7f4c97ec5a7822
global_step=20352 | return=27.65 | steps=69 | track=7a537391e870e6ba2a010462535380b3
global_step=20608 | return=-96.94 | steps=117 | track=057e14fb66a7fbf97f46c730c72195d2
global_step=20608 | return=-147.03 | steps=131 | track=719fe7323e4b2deb6a468258516630e3
global_step=20704 | return=-140.77 | steps=131 | track=0bfeb56d281918f6ad078c0f640ceb61
global_step=21008 | return=-145.86 | steps=131 | track=288852ad87a6aebb347cf8cfd38f9987
global_step=21088 | return=20.76 | steps=68 | track=10c0c13d4d03e100c0bfe1b973da3a76
global_step=21104 | return=-116.30 | steps=108 | track=f303e21b6ed3fab62bf396db25c3b6e9
global_step=21120 | return=-147.31 | steps=131 | track=8eea5ec16a4799258ebaa44359e6c8e4
global_step=21264 | return=-16.36 | steps=68 | track=e684f95d886fa553cb876eca64899da7
global_step=21344 | return=34.66 | steps=99 | track=01408040ada8a889a1e690801ba2c3ca
global_step=21360 | return=-137.98 | steps=131 | track=328a4d1f10e8aa18d110603048ae7a9f
global_step=21408 | return=-136.71 | steps=131 | track=5254133dccccb32e1030746f71b368db
global_step=22080 | return=-150.29 | steps=131 | track=4eb57ee4228dbe6e62c90590b386a509
global_step=22096 | return=-156.97 | steps=130 | track=46f4a121fef6f8e7683491247cceb4f1
global_step=22224 | return=-144.16 | steps=131 | track=fb52876cb15b51e76b94b371fc2862d3
global_step=22256 | return=-19.87 | steps=61 | track=712306e35f2be1163f2c423a20f917d7
global_step=22464 | return=-134.18 | steps=131 | track=2155aaca84614fa99674bcbda0b61c10
global_step=22592 | return=-137.20 | steps=264 | track=4a5d80c41bde62e17b4c296bd279391c
global_step=22688 | return=1.38 | steps=97 | track=ef6cf9e6f96a21fe32252f183ea5a29a
global_step=22704 | return=-136.54 | steps=130 | track=31205b0562df6a181520d1e0f9e95288
global_step=22720 | return=-146.49 | steps=131 | track=b589f46cf95093bd55bd0b202dd2d0e8
global_step=22816 | return=-154.71 | steps=131 | track=bbeead19864278acb9ede224616723db
global_step=23120 | return=-162.85 | steps=131 | track=8a0ea9f8f98c32a517fd76f140ddf05f
global_step=23216 | return=-146.95 | steps=131 | track=8963d8c932cd8dfa884394467f38ade7
global_step=23312 | return=-64.20 | steps=138 | track=e57c34787bbc6ab84c4827465bafd8eb
global_step=23520 | return=-143.23 | steps=131 | track=04b200751f8655860ba73086446827dd
global_step=23680 | return=-72.12 | steps=145 | track=53936ce7f5806db169d4ea6756a3c995
global_step=23808 | return=12.31 | steps=68 | track=cebadfa9a1fe3f9b3d5c777840217c85
global_step=23904 | return=3.45 | steps=67 | track=302a378cd53dcd0e781c9cc242e954fc
global_step=24208 | return=-150.91 | steps=131 | track=9140d1fcde480e99a73610007c21bd8a
global_step=24240 | return=-111.74 | steps=96 | track=6d3fef9bb191a26d10c45d02ee6f3649
