/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_90_04-08-13-45-36/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=11952 | return=-100.61 | steps=89 | track=1bbc485fd3c2247668270a34597d2289
global_step=11968 | return=-107.96 | steps=89 | track=e23df000069d5fd5fa8a310f5514022d
global_step=12320 | return=-135.13 | steps=130 | track=4566e7132f1defee20e14a6309cba6e4
global_step=12320 | return=-122.78 | steps=89 | track=fdaf42b622c1f76969059bfe02aa8484
global_step=12448 | return=-156.60 | steps=131 | track=e172f78d729369c62399158f03f34018
global_step=12944 | return=-101.73 | steps=135 | track=43277bbafa1dd468e3fef3570c3fa738
global_step=13040 | return=-127.17 | steps=131 | track=79e3d237ed57df9afc9987d393577bf9
global_step=13072 | return=21.88 | steps=69 | track=285451da3c554be88efd974f8fa16ddb
global_step=13104 | return=-128.80 | steps=130 | track=08e949cf726b218f964b5601ca7ddfa5
global_step=13216 | return=-171.26 | steps=131 | track=39d3affa28e2045ecc4682afd1781e44
global_step=13296 | return=-153.72 | steps=131 | track=db343ce6ad17d3d60939f6025a754bbf
global_step=13328 | return=-170.78 | steps=206 | track=721f240f5d49ad7675b9027082823a62
global_step=13456 | return=-158.33 | steps=136 | track=ebdd7371144215c44120037e21813f94
global_step=13552 | return=-107.81 | steps=98 | track=6870c894293569080d39090f2d34bb39
global_step=13888 | return=-102.27 | steps=130 | track=aa305b2c04d3e5cbfdef0c38dedc457c
global_step=14048 | return=-138.58 | steps=131 | track=e5392b8f36a7fcaa39fff669d745f101
global_step=14064 | return=-116.57 | steps=411 | track=2769093a2b69c9ed146432726537e5c5
global_step=14112 | return=9.09 | steps=66 | track=e074649e172984e7a7969011d71ba864
global_step=14352 | return=37.62 | steps=70 | track=cfb90512ac2affac4ff1e66d75386673
global_step=14416 | return=-147.39 | steps=130 | track=e907beafd5b325faef1c1dfeb3ce800b
global_step=14432 | return=-162.00 | steps=131 | track=47b6bfc43cb1e3aab34c7262f62f1b25
global_step=14432 | return=-101.73 | steps=92 | track=511bd43959c786d207665c65102f1ec4
global_step=14496 | return=-43.74 | steps=88 | track=41f56c28c70a490c4d4bc296b41ec93c
global_step=14560 | return=-154.11 | steps=131 | track=6aa40f38a26a11ee805cd53ff3941081
global_step=14944 | return=-61.99 | steps=86 | track=9a1f62d16eb26c5bb630420c18aa0870
global_step=15008 | return=-46.61 | steps=40 | track=6d208764b00a4784c926b64d02647d12
global_step=15104 | return=7.34 | steps=65 | track=aff75e90b4dd0ee2d674906a813ab7ad
global_step=15200 | return=-136.98 | steps=130 | track=4564bb5f870c71f2b8adf4622d1b4c4a
global_step=15424 | return=-148.79 | steps=130 | track=92278b0fdf8bdbbff38847ba85e2406f
global_step=15488 | return=-10.95 | steps=61 | track=b23807030c2af361a890f2e34a1549bd
global_step=15520 | return=46.03 | steps=67 | track=e210d874047cd8c821b81f4c70164e06
global_step=15568 | return=-168.79 | steps=131 | track=ea9850e98eb7302bde37aa8d26132932
global_step=15568 | return=55.89 | steps=70 | track=86d7f1ca724aa880725815921a3deb00
global_step=15632 | return=-107.92 | steps=145 | track=a88685111614edc1c02434ccbb0dfbdc
global_step=16000 | return=-146.61 | steps=131 | track=4d96ed493b6fc82887e1b1d00c171405
global_step=16032 | return=6.27 | steps=63 | track=d94662a360aa98d208d089fc2625e071
global_step=16128 | return=14.74 | steps=63 | track=1d5d410fd94ae3841db3ab1a3ebc1a34
global_step=16176 | return=-142.33 | steps=131 | track=3758f3af4a12d5bb09954c98fc5925f0
global_step=16224 | return=-146.37 | steps=131 | track=f71e88020154d1b13b52b266e478dec5
global_step=16288 | return=-18.26 | steps=44 | track=fd38565b47bef4f787c33f36199f4a69
global_step=16352 | return=24.44 | steps=345 | track=e630b377879b6303425db166c9870422
global_step=16352 | return=-33.32 | steps=71 | track=746712d016cc713b9a310c7649f65e3a
global_step=16368 | return=-15.62 | steps=52 | track=eda0a518e93ed26729082d83bd0a26ac
global_step=16384, SPS=72
global_step=16528 | return=-147.60 | steps=131 | track=a2f13b1f73c72e90228f00b373b25c9f
global_step=16688 | return=-8.14 | steps=65 | track=71ee34f5009e7dbbd4ed53e7cc706aea
global_step=17040 | return=-101.60 | steps=100 | track=1ac01ea3517ba8e8132be0c844e1495f
global_step=17040 | return=-142.37 | steps=130 | track=aa4acd3d583a5a629fa9e3abca8c2ffa
global_step=17600 | return=-139.47 | steps=131 | track=8dad81d2af94901f1fe7e438efda3939
global_step=17664 | return=-76.77 | steps=81 | track=e87084e1d1241e0f73edf0b6502e55f6
global_step=17744 | return=-154.61 | steps=198 | track=f87a5179f61ce9c34c7e18738bc027ae
global_step=17808 | return=25.12 | steps=139 | track=5c3a7b9df1d56a87e82259c71a0f2962
global_step=17856 | return=-67.28 | steps=97 | track=a906d393f7d16c16eaf765c75496fdd6
global_step=18112 | return=-149.62 | steps=131 | track=84aef9130a6be82dda4e086992016693
global_step=18160 | return=-140.59 | steps=132 | track=e399e65e2ac2aba50547d080ae80d157
global_step=18240 | return=-145.91 | steps=131 | track=65a27ced224f1e2c089c30bd76901a40
global_step=18288 | return=-137.34 | steps=131 | track=63dcad2156a66bac07a7b0e3ff7c3eb9
global_step=18448 | return=-149.60 | steps=130 | track=ebdeea77e5ec674cd3a03a6bfaf22e03
global_step=18480 | return=-151.77 | steps=131 | track=eddc807fa8f4ccd1e569b7f163bc3740
global_step=18528 | return=-105.96 | steps=143 | track=d91b3b9e10c5b15355dfb8463d28f53a
global_step=18640 | return=-156.21 | steps=131 | track=c5f4fabefb8e3c6b285c815833060f0a
