/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-45-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20032 | return=-142.23 | steps=131 | track=52abe58341d7c487f8e88bbad46e0989
global_step=20256 | return=-103.52 | steps=83 | track=3f30bb8cc5f69a256839092c82fe2eec
global_step=20256 | return=-136.36 | steps=131 | track=27ae673d2713d224a9657328192bdb35
global_step=20304 | return=81.27 | steps=353 | track=e8d612a93c189aae5ec9573bfcfc9701
global_step=20336 | return=-20.31 | steps=87 | track=b3cc62c36d162dd4f98938af9127725c
global_step=20528 | return=-131.11 | steps=140 | track=c664129b5c1ad58e7b5a4c3057bfc985
global_step=20544 | return=7.67 | steps=67 | track=af1e829388160700828c93aa277997c4
global_step=20576 | return=-132.28 | steps=131 | track=4795868a666cc19f35519b85037b387c
global_step=20592 | return=-13.02 | steps=63 | track=5fc141bb32978084f12f3462eeb02f14
global_step=20608 | return=-113.08 | steps=99 | track=9b1438e29728efe03378c844f1574fa8
global_step=20624 | return=-140.33 | steps=131 | track=c6689966006eed8a50bf19fe8d86f23f
global_step=20736 | return=-134.66 | steps=131 | track=f40394478b604368671dbfe41d1c3a8c
global_step=20816 | return=-151.91 | steps=131 | track=6df51f0fa77f80c94809ea0a72f71147
global_step=20960 | return=-147.76 | steps=131 | track=a0fe8d80779486085f28b788bafe1c5f
global_step=21072 | return=-42.14 | steps=47 | track=311f8afc9307661be42df96d02e70089
global_step=21392 | return=29.70 | steps=65 | track=d2d52a513b8902389eaa374f4ca95d5c
global_step=21424 | return=-59.10 | steps=148 | track=29c2089734b34ebc9a7292004798a486
global_step=21856 | return=-157.65 | steps=130 | track=884634f13b61db74ef14615a1f45a04e
global_step=22032 | return=-99.87 | steps=89 | track=d00f48781e4d5e624661618384d9da0f
global_step=22160 | return=-135.90 | steps=132 | track=66dbd114c0311bd7439c0edc3cb287fb
global_step=22176 | return=52.88 | steps=68 | track=89b76a2eefb0cdf935296db8ba971da6
global_step=22352 | return=-136.02 | steps=130 | track=2ceadbb13cb716b30545563c5c4e4c91
global_step=22368 | return=-145.14 | steps=131 | track=0b5ae994bfd8db69f700d2f4531ca822
global_step=22608 | return=-150.36 | steps=129 | track=023fdd5c077f5f14383e687831e9d5b0
global_step=22688 | return=-139.67 | steps=131 | track=33bf2a180e73592a566c01d950f86ed3
global_step=22720 | return=-161.01 | steps=131 | track=8b232cc398108f4530ed0fe14bb1e2b4
global_step=22752 | return=-145.71 | steps=132 | track=3b0fb623459ec7decf58b13574253950
global_step=22848 | return=-131.08 | steps=131 | track=b4e71cb9b0a501e9aa386f82556ed4a3
global_step=23040 | return=-172.44 | steps=155 | track=85aec64eeb037023a80880f3226a50d3
global_step=23056 | return=-149.54 | steps=130 | track=f6028be175a6e3a493f600933ae8d093
global_step=23504 | return=-145.81 | steps=131 | track=b4fdd71982b623694116f22920a1e490
global_step=23536 | return=-145.01 | steps=131 | track=148ba9c65d29626587cf5177dd553ca9
global_step=23584 | return=-182.17 | steps=172 | track=99f440d848f18a5a6b2ffe763dc2ed9a
global_step=23952 | return=-160.89 | steps=130 | track=6e6d8646561354ab98ae54bb9032c517
global_step=24192 | return=9.29 | steps=70 | track=4eaf75e74d1fd2cf1f7e9e61de3c4624
global_step=24272 | return=-156.29 | steps=131 | track=8d1bcd99291c911e9c46f28ecd13ca6d
global_step=24288 | return=-147.36 | steps=131 | track=a759a69fd4ffddb2ed86479feb0d46fe
global_step=24352 | return=-156.55 | steps=144 | track=9fb730d210b8c9bdac30b9c26f48e473
global_step=24464 | return=-165.80 | steps=130 | track=0aa53ba82f2b0f2ce0120cdd3f424e69
global_step=24560 | return=5.77 | steps=65 | track=72bf97f0be7408c32ef27542e22f07b2
global_step=24608 | return=1.46 | steps=66 | track=3428cc9d704b3844220b5e5208ce549c
global_step=24704 | return=-135.33 | steps=130 | track=6c175b190d26a6c13789734d2926457b
global_step=24784 | return=-153.56 | steps=130 | track=8a1d396b1c1ba5b8ab5fc8f8b0135490
global_step=24880 | return=-111.58 | steps=157 | track=45dbbf07f9988377ccafc05c901fb17d
global_step=24944 | return=-158.62 | steps=130 | track=197fea16e1a7c50d059252c26deab46a
global_step=25072 | return=-80.11 | steps=146 | track=4c3f842589b7875cd475d5f9b2a9643f
global_step=25152 | return=-145.01 | steps=131 | track=76d8d2caea1fef64f338874d1dc1749c
global_step=25600 | return=-5.01 | steps=70 | track=418ee4ae714fc1ad9e14ee659d9f5793
global_step=25648 | return=-124.48 | steps=180 | track=c72844c9a115cd876aeed85507f4a48a
global_step=25808 | return=-15.64 | steps=63 | track=f1d13dc235af8d1d898738904da7d87a
global_step=25920 | return=-23.00 | steps=64 | track=c3c6ac9f5eb164adf4efb5d4059b68a2
global_step=26384 | return=-150.05 | steps=131 | track=75fd43f35c397869f2b4a470411d3410
global_step=26400 | return=-142.10 | steps=131 | track=691a6f5358a0030f1e059cbf28309b0b
global_step=26448 | return=-161.48 | steps=130 | track=9e8be88d16c54ce381f05f4ac5232e11
global_step=26544 | return=103.89 | steps=161 | track=d387982621f027f30286bf78ae4355ba
global_step=26640 | return=-43.61 | steps=152 | track=231c48e9332ae80b5ff92c43be367190
global_step=26656 | return=-138.68 | steps=130 | track=802c0265e0ab026a5780553eee363a41
global_step=26720 | return=1.08 | steps=66 | track=f525c33994d8f714264ddff2bd854102
global_step=26768 | return=-114.50 | steps=134 | track=d1dd223a6a6843baa3caa5014b089bad
global_step=26800 | return=-149.32 | steps=130 | track=c3cd4894d1ca380baa391ab4a2408ada
global_step=26944 | return=18.17 | steps=70 | track=81edf7b7cdf4ec0e2e7cf4c1195e576f
global_step=27040 | return=-149.99 | steps=130 | track=ce4c71b4eaf801b04e4a26c84121dd89
global_step=27184 | return=-144.79 | steps=131 | track=1ed4ae5a4aa49c6d83606f42fcb566eb
global_step=27248 | return=-208.78 | steps=228 | track=55f4aee4ad7806a2cae163385d3bf0c8
global_step=27264 | return=-153.99 | steps=131 | track=38daf9ff323240974cf1acf24ebdced7
global_step=27488 | return=38.40 | steps=68 | track=425126315679e9af4ca4828e7b140235
global_step=27712 | return=-148.48 | steps=131 | track=dbc27b6102af8a34a34685fb92e40bd9
global_step=27984 | return=4.08 | steps=64 | track=79cbb93896a58adbf82c66b055a7a046
