/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=14944 | return=-143.58 | steps=131 | track=2b074064e8a5f441329d12345cb5d0e5
global_step=15232 | return=-1.73 | steps=70 | track=ce19762d2eae024c11b245eced4c618e
global_step=15264 | return=-143.30 | steps=131 | track=3eb6b409f481fc0f6fdd79f729ce8f09
global_step=15296 | return=-139.25 | steps=131 | track=3bb45a71120c1a95bf7440b15e2a5e9a
global_step=15312 | return=-164.77 | steps=131 | track=b68bf7f0c4d58f5f7c83dfb26b3ff257
global_step=15808 | return=-46.41 | steps=121 | track=94e8e339e01f67df17a5470501e3b1de
global_step=16352 | return=-154.42 | steps=278 | track=db79cbc6795c2a2556d586f7e058c671
global_step=16384, SPS=72
global_step=16416 | return=-113.41 | steps=110 | track=ee7f95e65b6ef2c256a919da9b01b96a
global_step=16432 | return=-122.35 | steps=108 | track=cba33c94cd0804dcf255260f2684ce2b
global_step=16496 | return=-12.46 | steps=76 | track=b4f99dd1b51c1000fe12fb09f556c160
global_step=16608 | return=-145.69 | steps=131 | track=aeaeab3f4e66e171dad701def5788591
global_step=16704 | return=-139.49 | steps=131 | track=1f85d615c555ba470cd950d8812296e3
global_step=16736 | return=-148.63 | steps=132 | track=7babf8bc67565882b1235150bd43fae8
global_step=16848 | return=-156.13 | steps=131 | track=4975fbe8df298021159f32cd4541f3fe
global_step=16848 | return=-136.46 | steps=131 | track=fd4daad4cb8054e3052b74d519ee5599
global_step=16848 | return=-144.81 | steps=131 | track=fc614b5f9155f66640be7de2e5ce9062
global_step=17056 | return=-138.24 | steps=131 | track=d3268c04295e758abc68ddfcf10b21ee
global_step=17136 | return=-63.73 | steps=44 | track=ea84a253308f8d2f98c098212abe9586
global_step=17312 | return=-95.67 | steps=93 | track=ff1e50c473919e158826f3429280796f
global_step=17408 | return=-145.20 | steps=131 | track=8e78619cc99e64425475ab373e739da4
global_step=17440 | return=10.67 | steps=67 | track=96a7e563b778173c2f8d4dfcfb29b82d
global_step=17616 | return=23.31 | steps=69 | track=b2bbd399691f02685099b9749baae988
global_step=17792 | return=-43.28 | steps=154 | track=65532fae59723c5c4f8fc791bb696e0b
global_step=18432 | return=6.90 | steps=63 | track=4e4a62ec0ac01f90c96809c89314b5da
global_step=18544 | return=-145.91 | steps=131 | track=fec6237a779ddfb9cfd53a380006d979
global_step=18592 | return=-172.56 | steps=209 | track=365d88e9d1073a85e35d319dface3d75
global_step=18720 | return=-144.55 | steps=131 | track=4b33fd812d1113f993a0f8ad19bdf6d7
global_step=18832 | return=-150.00 | steps=130 | track=0ed0c40f98de15929f2ee600480875e7
global_step=18896 | return=-72.54 | steps=335 | track=87f35daae5ae4fab4c7aefa646567e2a
global_step=18896 | return=-4.22 | steps=68 | track=2bddd8fc0ea6f9c955d51bcb40fd66b3
global_step=18992 | return=-118.56 | steps=133 | track=861c1b7a082a2646ffae85d1c5ea237e
global_step=19168 | return=-130.00 | steps=131 | track=096eef0d7dad1419c8459724f0330c51
global_step=19248 | return=-142.40 | steps=131 | track=7a1535defa6290b171e49137971f33aa
global_step=19408 | return=22.57 | steps=159 | track=d45c2e67a5309101daf9a3810c73d39e
global_step=19488 | return=-10.37 | steps=65 | track=bb5fffed7a00e30912dd07366a26658b
global_step=19712 | return=43.50 | steps=178 | track=f7c01853a307fce801cb978701843ad5
global_step=19728 | return=-127.88 | steps=131 | track=1d5200d16e40c70eec1f36b486c15241
global_step=19904 | return=-132.44 | steps=153 | track=50dbfcbeaff296e24ba79bd36b480dec
global_step=20000 | return=8.12 | steps=68 | track=6939a9f8c32ba48c2070492c6bfe9c35
global_step=20256 | return=-187.76 | steps=221 | track=78a8c5729d4254cac669253bbd286b0d
global_step=20400 | return=42.48 | steps=71 | track=0daad3b1b90974464444e7a3e99c06c5
global_step=20704 | return=-126.13 | steps=131 | track=cb004059fb939ef7866e7e9bd1e4b2ad
