/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.7_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=26152 | return=-96.30 | steps=131 | track=e771a4334b7e8defa54c346dce992d1f
global_step=26368 | return=-82.81 | steps=131 | track=67d24ac6fb7dca41a50f634a11f28707
global_step=26424 | return=7.98 | steps=121 | track=12e08142dfba071aaddd146f216899ce
global_step=26440 | return=24.52 | steps=66 | track=820f81fee390ff8dfa5ad12085256d7c
global_step=26488 | return=-98.50 | steps=130 | track=267949dd57eeac996cd79d149ceffd0d
global_step=26616 | return=-111.20 | steps=131 | track=78936ab7b3b4840d7abb2fa8bdefd92a
global_step=26816 | return=143.56 | steps=250 | track=69cd2b3d8511cca992c9956762747486
global_step=26840 | return=-42.86 | steps=49 | track=5f93e10e205a760ef024c1057242da3f
global_step=27184 | return=-52.83 | steps=45 | track=f7cbb72f56318e428ae9151ca8b2f6cf
global_step=27208 | return=-90.33 | steps=131 | track=0d3b251ecd5ce8b432f6bbd58667fe6d
global_step=27280 | return=-69.31 | steps=141 | track=19ff9b8662cac2e2b82acd627f159693
global_step=27480 | return=-73.16 | steps=131 | track=03517a0b6688703b402266bb7fefd961
global_step=27488 | return=-49.45 | steps=139 | track=b62c16e1161d543eebb997c92ee9dd4e
global_step=27536 | return=-56.36 | steps=130 | track=fe84dfccffaef8651e5f54575327add4
global_step=27640 | return=-35.68 | steps=44 | track=1873f7a852ffaad402b896fde6367353
global_step=27672 | return=-91.71 | steps=131 | track=b25e35e81b09eaf4ed536d0acc2cd15d
global_step=28032 | return=3.00 | steps=148 | track=6c1a3f76056a14a0095b2287eaf61b49
global_step=28176 | return=56.24 | steps=66 | track=d924da77faf071ff22185f19ff8db24c
global_step=28240 | return=-89.36 | steps=131 | track=2266de81be50235d920234b3687b8089
global_step=28320 | return=-36.07 | steps=97 | track=a341582ecb332bbbaf8abe5b2fa2c621
global_step=28480 | return=-33.79 | steps=158 | track=fead237cc875947822f007ea2029e4e7
global_step=28520 | return=-43.44 | steps=129 | track=eef5dcf604f7ac0162b68a7defa3afb0
global_step=28544 | return=-116.07 | steps=131 | track=0a163e552e65a5cbcba80a9722a152a2
global_step=28880 | return=9.67 | steps=150 | track=e8e155f06002bad0536d212b46bea917
global_step=28952 | return=-111.90 | steps=88 | track=6e67dcee4aed21dc2f39321ccc8194a0
global_step=28992 | return=-9.79 | steps=58 | track=6759e3f53acfa2852e938f562ffb5436
global_step=29216 | return=-100.46 | steps=129 | track=2e566d11b7e9284a1191c195a1235ef9
global_step=29248 | return=176.93 | steps=115 | track=432d241de1cc1baedfcd8366ee0a0566
