/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.0_bud_180_04-08-14-41-59/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16120 | return=-98.25 | steps=131 | track=d8d14ce7b2e0182ded2e0b06dd615cec
global_step=16144 | return=-81.41 | steps=131 | track=a3a11d9e2472ef9982048f1f77d48bb6
global_step=16152 | return=-74.31 | steps=130 | track=d542bfd9dd3cf619c646bcf3576cb65d
global_step=16384, SPS=41
global_step=16464 | return=-85.87 | steps=146 | track=91b737dce0ae27454129e2e1a7cb1de2
global_step=16464 | return=-112.48 | steps=131 | track=879745a6bd3b03908e8f3e175b780382
global_step=16512 | return=-81.15 | steps=186 | track=fe818dadae4e8eb7cadde07383b6c360
global_step=16552 | return=-113.06 | steps=130 | track=76785885c9ab660c437d95e4439124e9
global_step=16664 | return=-86.48 | steps=131 | track=a35c7195a362c35df5977a659f1fd94a
global_step=17168 | return=-101.28 | steps=130 | track=5e9584732bd233dfcabf0f2fb653150d
global_step=17200 | return=-92.03 | steps=131 | track=32efc22fd5d51c5d46262b756febd7ce
global_step=17208 | return=-102.93 | steps=131 | track=67d234ea27c34a54d62537121b854891
global_step=17208 | return=-28.02 | steps=86 | track=b3973cde507a89dabec8f05bce5caad9
global_step=17504 | return=-62.17 | steps=129 | track=1ae27433a4f061b272a7759b36764bb6
global_step=17520 | return=-93.70 | steps=131 | track=0983dd3a5ffcff7e8f282ebdc4ef3c67
global_step=17616 | return=-87.16 | steps=132 | track=fb444c164ac7307cccf5280550087719
global_step=17720 | return=-83.57 | steps=131 | track=a92ae307ba1f4e912c69a65784567a48
global_step=18096 | return=-36.55 | steps=110 | track=3a1568afa1e01d0033e3dbd63d39d772
global_step=18224 | return=-85.90 | steps=131 | track=373902c6bb621446c1b92fccd42c7311
global_step=18248 | return=-104.49 | steps=130 | track=503e1a7ae45fbd2d2814689db909e8f7
global_step=18256 | return=-75.28 | steps=130 | track=b154a16d4fe7b92868141bfb466bf8ed
global_step=18560 | return=-65.90 | steps=131 | track=0d3cebc76f30f5505193356e7154b743
global_step=18576 | return=-92.71 | steps=131 | track=3b74029490f71519102b035da73f3d37
global_step=18608 | return=-18.51 | steps=44 | track=eb2d4157b347d516af34634137e105f0
global_step=18672 | return=-104.07 | steps=131 | track=6aa711f6fc32ac74ef7cc3e5e8120788
global_step=18776 | return=-84.15 | steps=131 | track=27bc80ff91322977dadc120874533e91
global_step=18808 | return=34.94 | steps=68 | track=7c71b08ecad5d87918328e218312d940
global_step=19112 | return=-46.76 | steps=66 | track=1b70222368e5870538e0223179165d29
global_step=19144 | return=-91.28 | steps=130 | track=532ae2aaf93b543e202c83b594a3ffa8
global_step=19288 | return=-94.66 | steps=132 | track=461692bbc94286e4da6bc973543dbb4e
global_step=19608 | return=-104.20 | steps=130 | track=90e0e2adfa1da991e1b3134011512259
global_step=19656 | return=19.79 | steps=67 | track=3e3c3c8ed42621b415b8fad5353482d0
global_step=19664 | return=-104.33 | steps=131 | track=722a363382c9ca74f93847da2e721310
global_step=19720 | return=-71.48 | steps=130 | track=300bce3c1927bf4d7b83475f05450cd5
global_step=19832 | return=-100.63 | steps=131 | track=e970839d482e1bbcbe99cc5a8c8f5e55
global_step=19864 | return=-101.10 | steps=131 | track=aae35c76e81b712ecc8521f2fb33ab65
global_step=20200 | return=-80.36 | steps=131 | track=fb1d282ebd921a97a8c197dd550ec085
global_step=20248 | return=88.64 | steps=72 | track=2dd37cf750999a2be94ebfc3aaff9adf
global_step=20344 | return=-97.37 | steps=131 | track=cc7119b8c43507cba03cb6e6cdeac2ff
global_step=20712 | return=-109.09 | steps=131 | track=e0b7eae37f2101467c87d57a321e94b9
global_step=20720 | return=-84.69 | steps=138 | track=0d11c0cdab435c6f9d5ec6a633852bb7
global_step=20768 | return=-105.56 | steps=130 | track=cb5aa02ce6b38df9c4c8f66aba3e2d12
global_step=20880 | return=-98.14 | steps=130 | track=b1e74e14097088c85b0a253625a0154e
global_step=20920 | return=-97.37 | steps=131 | track=77787a52930b37d8f452d31910eb3fb5
global_step=20968 | return=-75.06 | steps=89 | track=a45664c28d19f283f5f5a8abf3bb5040
global_step=20992 | return=-10.96 | steps=98 | track=fb1934d41842895a3fe9941273f6cdd4
global_step=21232 | return=27.64 | steps=63 | track=c470dea52c30b04ab0f6ac7867ef3dac
global_step=21784 | return=-57.60 | steps=179 | track=119f29cadd864205b1d843d6a75d1390
global_step=21824 | return=-93.70 | steps=131 | track=0826e735e99380435595374cbd01b766
global_step=21928 | return=-100.20 | steps=130 | track=d20d9988ba972c641ebd12dbafd01b76
global_step=21952 | return=-6.82 | steps=154 | track=257a79496d2baaaeaae0301d5b1fae46
global_step=22016 | return=-101.18 | steps=130 | track=35303bb7d0b56858e37610516f39fa09
global_step=22048 | return=25.76 | steps=140 | track=f8e1b614e26464ebcbedb299b781ec50
global_step=22048 | return=-97.10 | steps=131 | track=582b20417e291d8dde9ba26415de401f
global_step=22288 | return=-105.79 | steps=131 | track=bf49a2e8868b75656f11e78b0be62355
global_step=22320 | return=35.88 | steps=66 | track=cd8bcba6ef2fc5af6c9432f77b9382b9
global_step=22528 | return=8.61 | steps=63 | track=95cacf97d39c56f65b5133117f973aa6
global_step=22560 | return=-23.79 | steps=75 | track=2564c0b9a976debdba0079149493502b
global_step=22880 | return=-67.08 | steps=131 | track=d5c3824413875c7106aca3adf25d4b06
global_step=22904 | return=-48.24 | steps=46 | track=e9688fa3e8b5441cdc8cbe5e776a6060
global_step=22984 | return=-96.31 | steps=131 | track=670a36d80069043cd2bdb1e21b06e552
global_step=23104 | return=-94.71 | steps=131 | track=70043aebaff7660ca38619f46067cc1e
global_step=23104 | return=-95.29 | steps=131 | track=1eb5af2af0363e4470244b0429cf4c97
global_step=23344 | return=-82.15 | steps=131 | track=f8150280ce42b3e7abe28655de7580ae
global_step=23376 | return=-96.03 | steps=131 | track=541a0e8486994540139a9dad9ae9f7d7
global_step=23552 | return=45.19 | steps=70 | track=5eadda800139694f0560014713ac4c2a
global_step=23616 | return=-86.66 | steps=131 | track=8f410d98436fbf3a0bd8f77af97bc44b
global_step=23656 | return=-74.89 | steps=96 | track=d4fe6eb23cd7313f68f7d18a312eb7e6
global_step=23712 | return=24.60 | steps=75 | track=436c731ef371d9958515358d0469ed09
global_step=23880 | return=-18.55 | steps=66 | track=2f6b1aecfa32b59679dc468e1bd4ea8a
global_step=23952 | return=-96.14 | steps=130 | track=38a2fa35e9b3920618625cb73c35e26a
global_step=24080 | return=29.18 | steps=121 | track=e3509c657652a2d9c7598488b961797f
global_step=24392 | return=-24.07 | steps=63 | track=bef006476eca6408bfb225dd98bade02
global_step=24432 | return=-93.90 | steps=131 | track=c79e2c5c8354a0980933c631cfcf7638
global_step=24576, SPS=41
global_step=24608 | return=-109.68 | steps=131 | track=1ce253dc1d487f189962282fdf6beb14
global_step=24720 | return=-94.03 | steps=132 | track=20cba3979f3b926556e7a8088f1b22b9
global_step=24768 | return=-91.91 | steps=131 | track=68b4064744cb17c7c8c84a6a11a401ea
global_step=24776 | return=-39.29 | steps=42 | track=d0a129e1a6b5fbf31cc11b5f29297154
global_step=24832 | return=-79.75 | steps=109 | track=9c8319f8ecb66c7eaf0a83959f35f00d
global_step=24888 | return=-52.95 | steps=100 | track=c670dbeb365a91aa2807546a68628176
global_step=24920 | return=47.50 | steps=162 | track=50e6ce3d42519fb1b432c4fba47eeaa7
global_step=25272 | return=113.76 | steps=109 | track=cca6a78b309e70dbfe33f37529fcc248
global_step=25656 | return=-93.72 | steps=130 | track=8e5c51de3d274a4749d649bbf5bf62c9
global_step=25688 | return=-14.42 | steps=51 | track=b1608f8118fb0f9dbef18916bcfd81cb
global_step=25776 | return=-79.16 | steps=131 | track=3c03ed0c139fab6b89f69de273116cb2
global_step=25824 | return=-94.03 | steps=131 | track=b26ddafbd71003be302935922706cfc4
global_step=25832 | return=-99.11 | steps=131 | track=f0f1e93d9be281db577c6247c27ac053
global_step=25888 | return=-90.88 | steps=131 | track=61095cbee8317ea4d2985d5807c5b1d2
global_step=25944 | return=-85.33 | steps=131 | track=3163c3eccec7b27716e9d1f048921534
global_step=26048 | return=-24.79 | steps=140 | track=308cd8bda863f1745059483cddd08373
global_step=26544 | return=-5.63 | steps=61 | track=160c07af5b3eec5a6a2622ad3caa9863
global_step=26712 | return=-89.76 | steps=131 | track=ae48b9edd3323ba67863dc1775dd0c4c
global_step=26744 | return=-101.30 | steps=131 | track=571eff9f771b54fde53d984af0579e03
global_step=26824 | return=-106.43 | steps=130 | track=28f5fb23f6677cb5b3c8b1399c7dd252
global_step=26880 | return=-110.77 | steps=131 | track=5fab2b717edf1035b8b587ff4d988603
global_step=26944 | return=-99.09 | steps=131 | track=c954f6da556444aa5d09b6b9b3388fa8
global_step=27000 | return=-88.48 | steps=131 | track=24ba74a75238918f60fb183f68e9c077
global_step=27136 | return=36.34 | steps=73 | track=02e949eea799e65bb40bd8afed1e48ed
global_step=27272 | return=27.21 | steps=65 | track=4540fc32a8df14075af559853d96a960
global_step=27656 | return=-159.29 | steps=227 | track=abffbdb919fd9436b161a09729a109a5
global_step=27704 | return=46.61 | steps=70 | track=a62284ea2c187ad66cb53640e3001deb
global_step=27768 | return=-91.89 | steps=131 | track=3ee25b50834f2869c3e14a9be10f1e1b
global_step=27872 | return=-83.13 | steps=130 | track=41b948b3acd93af2f6723341efb53372
