/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.2_bud_180_04-08-14-42-03/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=19296 | return=-126.99 | steps=132 | track=04b4131ae7c8d20577f0c43e55527a45
global_step=19376 | return=-80.00 | steps=131 | track=a5ce419e845d399cbf5d36e8a499927c
global_step=19384 | return=-68.95 | steps=102 | track=01a9f7671fe762b2552832ce77ea6d14
global_step=19640 | return=-84.11 | steps=131 | track=be054e904c1004add660e02bd1c51335
global_step=19760 | return=-33.29 | steps=89 | track=545701523073162847467204aa2c9007
global_step=19824 | return=44.36 | steps=65 | track=dfe16b638bb8b0f76d22fa2d0fc7fe49
global_step=19856 | return=-106.80 | steps=131 | track=438e0d6675c2887dbffcd48a466211d3
global_step=19920 | return=40.49 | steps=261 | track=b3127be70422eb69a2a42d156dc0f4bf
global_step=20144 | return=-103.28 | steps=131 | track=3d8ca8c43d05c3d995947c0996fa712d
global_step=20424 | return=-102.98 | steps=130 | track=9532e110c8148a876b222f8f6918d69d
global_step=20432 | return=-90.18 | steps=130 | track=df465e9185f3404b5c0882ccfb29f9ae
global_step=20680 | return=68.36 | steps=66 | track=0584ecb0cf87089a03ad433b75d1d3c8
global_step=20696 | return=-79.03 | steps=131 | track=85632c40b3ee566e37c8b8c7e63ac407
global_step=20880 | return=-92.76 | steps=131 | track=7a38d54c442ace8bfc84fb173324426a
global_step=20912 | return=-109.24 | steps=131 | track=b80b21d7f51e0b571cd7ab275b01d816
global_step=20944 | return=-16.14 | steps=147 | track=f9b8e781f0eb1014fc8e4b15282660ee
global_step=20968 | return=-57.59 | steps=130 | track=c4bcca75ba045d81aa9da0f80443b151
global_step=21288 | return=-53.49 | steps=106 | track=9632c069da24615536b878437f494dce
global_step=21712 | return=-39.06 | steps=92 | track=3f282ecb8f748e5b950cae5272212176
global_step=21720 | return=-70.73 | steps=127 | track=e97c9986615af61d48420189cbef8462
global_step=21744 | return=-40.57 | steps=164 | track=d6d657096a2241c3800fa9050825dd25
global_step=21752 | return=-88.58 | steps=100 | track=834863238e13d617b695df6bce56e2be
global_step=21776 | return=-56.40 | steps=136 | track=274d1db9eb6dd339067f72cebe538277
global_step=21936 | return=-90.33 | steps=131 | track=17e7caae10e961ee16489ab4cec28888
global_step=21968 | return=-104.64 | steps=131 | track=9e8690b81fb0ae9450773ef40530ac9d
global_step=22064 | return=-50.99 | steps=39 | track=e8335db6ac26dd2b19ab8fdb78f7f59f
global_step=22320 | return=14.35 | steps=75 | track=71e569a32012c9b8caa4f1871c80f0a0
global_step=22344 | return=63.42 | steps=70 | track=aa06d72688a6ace105d9e84b0b661af4
global_step=22344 | return=-100.01 | steps=131 | track=7cbca0de724944e5ea5eea81f5cf70a4
global_step=22720 | return=-52.06 | steps=46 | track=ebddb8176ccbf6d8fc648de4977f7cda
global_step=22752 | return=-71.62 | steps=101 | track=894e03e306007a3de0f2debbc81c78e7
global_step=22776 | return=-116.31 | steps=131 | track=c5b8c6e45a57ca78393505ad2b42020c
global_step=22912 | return=42.37 | steps=73 | track=987e79a4cca7acfafedf154f93d36a9e
global_step=23024 | return=-96.58 | steps=131 | track=695eb5f07bc98fb746776ee13d692d02
