/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.8_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=24656 | return=-98.14 | steps=130 | track=ca4bf2f910b906ed856fe483aa5b81cb
global_step=24744 | return=-28.59 | steps=173 | track=53bbb453d5ddc1634bdc651d4d4e8864
global_step=25000 | return=-62.20 | steps=89 | track=5b2a18ae4fd26b3405c25eb05e5822f9
global_step=25112 | return=-63.85 | steps=91 | track=a7395d828d8ed8fe9efc5510ba56ee87
global_step=25360 | return=-71.42 | steps=101 | track=25ee04bb0ff2dc67e9d89ddebbc1ccb7
global_step=25488 | return=-61.23 | steps=130 | track=203c25a8dcaa506eb24ca03037eb0528
global_step=25640 | return=-102.68 | steps=131 | track=2784791f5c477c56b6da359226ff336a
global_step=25680 | return=-91.70 | steps=131 | track=b19c142fab562913cb25f1bf9a85eed4
global_step=25712 | return=-81.71 | steps=131 | track=8abcda439a4c92bae77eb0e7812ad321
global_step=25760 | return=20.26 | steps=80 | track=db3d2f8c3d3ca18eeb7def2baab972cb
global_step=25808 | return=-125.19 | steps=132 | track=6b6386aa8b93d1312acbd40f51cddaa4
global_step=25984 | return=22.90 | steps=61 | track=65614b5ae1412c7e3d78693a3d3daffd
global_step=26128 | return=-57.31 | steps=140 | track=210a47f324be45d88dc23b82dcdebd7a
global_step=26232 | return=44.79 | steps=68 | track=df2691e5fa75b54bea0b68b528940269
global_step=26480 | return=-78.12 | steps=104 | track=9eaed1d183e1739014b1984fa1ba6250
global_step=26656 | return=18.16 | steps=65 | track=7b3ee4ca0b2c5062efa9eea9a490857e
global_step=26760 | return=-89.78 | steps=130 | track=c61c4831badbe8b46f05e55de0da499f
global_step=26808 | return=-91.82 | steps=130 | track=07cfe32bb58c2d9bcce21b54da914dfd
global_step=26976 | return=-23.04 | steps=145 | track=00396ca71a9dd977013c0e631e6e61dd
global_step=27184 | return=24.13 | steps=65 | track=2c82bbbe800491ba54b9cc5d88247695
global_step=27280 | return=-94.34 | steps=130 | track=2c58f413fd94687ffe92f19e34e63727
global_step=27328 | return=-52.57 | steps=245 | track=7884826c7202119ff90f775547d7c6a7
global_step=27512 | return=37.28 | steps=66 | track=82057658ac308b05e206ea009792653f
global_step=27528 | return=-100.79 | steps=130 | track=e421716bf0cce2e17a12a4d4adcf0293
global_step=27792 | return=-12.59 | steps=225 | track=038c992868503ccf88b78e8f33ebb632
